[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Quinidine.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Quinidine is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Quinidine can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Quinidine is combined with Buflomedil.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Quinidine.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J05AX18, letermovir, The metabolism of Quinidine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Quinidine.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Quinidine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Ertugliflozin can be increased when it is combined with Quinidine.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R06AX18, acrivastine, Acrivastine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Quinidine.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Quinidine.]
[L02BB05, apalutamide, The serum concentration of Quinidine can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Quinidine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Quinidine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Quinidine is combined with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Quinidine.]
[C07AG02, carvedilol, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Quinidine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Quinidine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Quinidine.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Quinidine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Quinidine.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Quinidine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01GB14, plazomicin, Plazomicin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AB08, celiprolol, Quinidine may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The serum concentration of Quinidine can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Quinidine.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Quinidine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Quinidine.]
[J05AX24, tecovirimat, The metabolism of Quinidine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Quinidine can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Quinidine.]
[J01AA14, sarecycline, The serum concentration of Quinidine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Quinidine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Quinidine.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Quinidine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Quinidine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R03BB08, revefenacin, Quinidine may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The serum concentration of Quinidine can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Quinidine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Quinidine.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Quinidine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Quinidine.]
[L01XJ03, glasdegib, The serum concentration of Quinidine can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Quinidine is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Quinidine.]
[C01BG07, cifenline, Quinidine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Quinidine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Quinidine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[S01ED05, carteolol, Quinidine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Quinidine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Quinidine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Quinidine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Quinidine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Quinidine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01EN01, erdafitinib, The serum concentration of Quinidine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Quinidine can be increased when combined with Clobazam.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Quinidine.]
[H02AB14, cloprednol, The metabolism of Quinidine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Quinidine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Quinidine.]
[L04AB01, etanercept, The metabolism of Quinidine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Quinidine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Quinidine can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Quinidine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Quinidine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C03BX03, cicletanine, Quinidine may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Quinidine.]
[L01EJ02, fedratinib, The serum concentration of Quinidine can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Quinidine.]
[J04AK08, pretomanid, The metabolism of Quinidine can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Quinidine.]
[N04CX01, istradefylline, The serum concentration of Quinidine can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Quinidine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Quinidine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Quinidine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Quinidine can be increased when combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Quinidine.]
[N02CC08, lasmiditan, The serum concentration of Quinidine can be increased when it is combined with Lasmiditan.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Quinidine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Quinidine.]
[B06AX03, voxelotor, The serum concentration of Quinidine can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Quinidine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M09AX08, golodirsen, Golodirsen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Quinidine.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Quinidine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Quinidine.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Quinidine is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Quinidine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Quinidine.]
[L01XX72, tazemetostat, The metabolism of Quinidine can be decreased when combined with Tazemetostat.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Quinidine.]
[J05AB16, remdesivir, The metabolism of Quinidine can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quinidine.]
[H02CA02, osilodrostat, The metabolism of Quinidine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Quinidine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Quinidine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Quinidine is combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Quinidine.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Quinidine.]
[R02AA03, dichlorobenzyl alcohol, Dichlorobenzyl alcohol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G03DB08, dienogest, Dienogest may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Quinidine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Quinidine.]
[M01AH02, rofecoxib, The metabolism of Quinidine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Quinidine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, Quinidine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Quinidine may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J01FA13, dirithromycin, The serum concentration of Quinidine can be increased when it is combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Quinidine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Quinidine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C02AA06, methoserpidine, Quinidine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Quinidine is combined with Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Quinidine.]
[N04BX04, opicapone, The serum concentration of Opicapone can be decreased when it is combined with Quinidine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Quinidine.]
[D07XB03, fluprednidene, The metabolism of Quinidine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Quinidine.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Quinidine can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Quinidine.]
[B01AE02, lepirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinidine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Quinidine.]
[R06AX22, ebastine, The metabolism of Quinidine can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Quinidine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Quinidine.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01FX15, belantamab mafodotin, Quinidine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Quinidine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Quinidine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Quinidine.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Quinidine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Quinidine can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Quinidine.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Quinidine.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02BA03, choline salicylate, Choline salicylate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06BX18, vinpocetine, Quinidine may increase the arrhythmogenic activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Quinidine.]
[A16AX20, lonafarnib, The metabolism of Quinidine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Quinidine may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Quinidine.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Quinidine is combined with Naxitamab.]
[L04AD03, voclosporin, The serum concentration of Quinidine can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Quinidine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Quinidine.]
[L01EX25, umbralisib, The serum concentration of Quinidine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Quinidine.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N03AX10, felbamate, The metabolism of Quinidine can be increased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Quinidine.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Quinidine is combined with Fenozolone.]
[G04CB01, finasteride, The metabolism of Quinidine can be decreased when combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Quinidine.]
[R03BA03, flunisolide, The metabolism of Quinidine can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Quinidine can be increased when combined with Fluocinolone acetonide.]
[S01JA01, fluorescein, Quinidine may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Quinidine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Quinidine.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Quinidine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[H04AA02, dasiglucagon, Quinidine may decrease the antihypertensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Quinidine.]
[A02BA01, cimetidine, The metabolism of Quinidine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Quinidine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Quinidine.]
[L01XX73, sotorasib, The serum concentration of Quinidine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Quinidine can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Quinidine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Quinidine.]
[N06AB04, citalopram, The metabolism of Quinidine can be decreased when combined with Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Quinidine.]
[L04AA48, belumosudil, The serum concentration of Quinidine can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Quinidine is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Quinidine can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Quinidine.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Quinidine.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Quinidine can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Quinidine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Quinidine.]
[A10BB12, glimepiride, Quinidine may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Quinidine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Quinidine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Quinidine.]
[N06AX25, St. John's wort extract, The serum concentration of Quinidine can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Quinidine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Quinidine can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Quinidine can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Quinidine can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The therapeutic efficacy of Tenecteplase can be increased when used in combination with Quinidine.]
[C10AB01, clofibrate, The metabolism of Quinidine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Quinidine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Quinidine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Quinidine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Quinidine.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Quinidine.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Quinidine.]
[C01EB24, mavacamten, The serum concentration of Quinidine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A05BA08, glycyrrhizic acid, Quinidine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A04AA01, ondansetron, The metabolism of Quinidine can be decreased when combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Quinidine.]
[J05AX31, lenacapavir, The metabolism of Quinidine can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The serum concentration of Clozapine can be increased when it is combined with Quinidine.]
