[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[A02AD05, aluminum magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium Aluminum Silicate.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Quinine is combined with Alverine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Quinine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Quinine.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Quinine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Quinine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Quinine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Quinine is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Quinine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, The therapeutic efficacy of Quinine can be decreased when used in combination with Bumetanide.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Quinine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Quinine.]
[N07BC01, buprenorphine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The therapeutic efficacy of Quinine can be decreased when used in combination with Buserelin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Quinine.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Quinine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Quinine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Quinine is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Quinine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Quinine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Quinine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Quinine.]
[S01GX07, azelastine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Quinine.]
[S01AA26, azithromycin, The serum concentration of Quinine can be increased when it is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Quinine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Quinine.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Quinine.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Quinine.]
[N02BF02, pregabalin, The therapeutic efficacy of Quinine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Quinine is combined with Beclamide.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Quinine.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Quinine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Quinine is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Oxybuprocaine.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Quinine.]
[J05AE09, tipranavir, The risk or severity of torsade de pointes and Cardiac Arrhythmia can be increased when Tipranavir is combined with Quinine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Quinine.]
[L04AB02, infliximab, The metabolism of Quinine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Quinine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Quinine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Quinine is combined with Safinamide.]
[J01MA23, delafloxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Delafloxacin.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Quinine.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Quinine is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Quinine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Quinine.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Quinine.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Quinine.]
[L01XH01, vorinostat, The therapeutic efficacy of Quinine can be decreased when used in combination with Vorinostat.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Quinine.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Quinine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Quinine can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Quinine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Quinine.]
[N04AA11, bornaprine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Quinine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Quinine is combined with Brotizolam.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Quinine.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Quinine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Quinine.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Quinine.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Quinine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Quinine can be increased when used in combination with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Quinine is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Quinine.]
[C09AA01, captopril, Quinine may increase the hypotensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Quinine is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Quinine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Quinine.]
[A03AA03, camylofine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Quinine.]
[L03AB06, interferon alfa-n1, The metabolism of Quinine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Quinine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Quinine.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Quinine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Quinine.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Quinine.]
[J01GB14, plazomicin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Plazomicin.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Quinine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Quinine.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Quinine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Quinine.]
[N03AX17, stiripentol, The metabolism of Quinine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Quinine.]
[J05AX24, tecovirimat, The metabolism of Quinine can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Quinine.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Quinine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Quinine.]
[J01AA14, sarecycline, The serum concentration of Quinine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Quinine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Quinine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Quinine is combined with Carbromal.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Quinine.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Quinine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Quinine.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Quinine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Quinine.]
[R03BB08, revefenacin, Quinine may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Quinine.]
[L04AA39, emapalumab, The metabolism of Quinine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Quinine can be decreased when combined with Carmustine.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Quinine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Quinine.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Quinine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Quinine is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Quinine.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Quinine.]
[C09AA08, cilazapril, Quinine may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Quinine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Quinine is combined with Cinitapride.]
[S01ED05, carteolol, Quinine may increase the hypotensive activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Quinine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Quinine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Quinine.]
[J01FA09, clarithromycin, The serum concentration of Quinine can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Quinine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Quinine is combined with Brexanolone.]
[L01EN01, erdafitinib, The serum concentration of Quinine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Quinine can be decreased when combined with Clobazam.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Quinine.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Quinine.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Quinine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Quinine is combined with Cloxazolam.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Quinine.]
[C09CA06, candesartan, The metabolism of Quinine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Quinine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Quinine.]
[L01EM03, alpelisib, The serum concentration of Quinine can be decreased when it is combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Quinine.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Quinine.]
[N05AA06, cyamemazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Quinine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quinine.]
[L01EJ02, fedratinib, The serum concentration of Fedratinib can be increased when it is combined with Quinine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Quinine.]
[N07XX11, pitolisant, The serum concentration of Quinine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Quinine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Quinine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Quinine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Quinine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Quinine.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Quinine.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Quinine.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Quinine.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Quinine.]
[N02CC08, lasmiditan, The serum concentration of Quinine can be increased when it is combined with Lasmiditan.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Quinine.]
[G03AC09, desogestrel, The therapeutic efficacy of Quinine can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Quinine.]
[N03AX25, cenobamate, The serum concentration of Quinine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Quinine can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Quinine.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Quinine.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Quinine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Quinine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Quinine is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Quinine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Quinine.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Quinine.]
[L04AA53, teprotumumab, The therapeutic efficacy of Quinine can be decreased when used in combination with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Quinine.]
[M01AX21, diacetylrhein, The metabolism of Quinine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Quinine.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Quinine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Quinine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Quinine is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Quinine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Quinine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Quinine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Quinine.]
[G03DB08, dienogest, The therapeutic efficacy of Quinine can be decreased when used in combination with Dienogest.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Quinine is combined with Difenoxin.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Quinine.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Quinine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Quinine.]
[M01AH02, rofecoxib, The metabolism of Quinine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Quinine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Quinine.]
[C01BD07, dronedarone, Quinine may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Quinine is combined with Valpromide.]
[J01FA13, dirithromycin, The serum concentration of Quinine can be increased when it is combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Quinine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Quinine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Quinine is combined with Chlordiazepoxide.]
[C02AA06, methoserpidine, Quinine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Quinine which could result in a higher serum level.]
[A03AA08, dihexyverine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Quinine.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Quinine.]
[G04BD09, trospium, Quinine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Quinine.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Quinine.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Quinine.]
[B01AE02, lepirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinine.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Quinine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Quinine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Quinine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Quinine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Quinine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Quinine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Quinine is combined with Remimazolam.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Quinine.]
[L04AC19, satralizumab, The serum concentration of Quinine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Quinine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Quinine.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Quinine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Quinine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Quinine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Quinine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Quinine can be decreased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Quinine.]
[A11CC05, cholecalciferol, The metabolism of Quinine can be decreased when combined with Cholecalciferol.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Quinine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Quinine is combined with Etifoxine.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Quinine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Quinine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Quinine is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Quinine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Quinine.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Quinine.]
[A16AX20, lonafarnib, The metabolism of Quinine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Quinine.]
[L04AD03, voclosporin, The serum concentration of Voclosporin can be increased when it is combined with Quinine.]
[P03AX07, abametapir, The serum concentration of Quinine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Quinine.]
[L01EX25, umbralisib, The serum concentration of Quinine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Quinine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Quinine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Quinine.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Quinine.]
[C01CA19, fenoldopam, Quinine may increase the hypotensive activities of Fenoldopam.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Quinine.]
[J01MB07, flumequine, The therapeutic efficacy of Quinine can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Quinine.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Quinine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Quinine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Quinine.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Quinine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Quinine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Quinine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Quinine may increase the hypotensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Quinine.]
[A02BA01, cimetidine, The metabolism of Quinine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Quinine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Quinine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Quinine.]
[L01XX73, sotorasib, The serum concentration of Quinine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Quinine.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Quinine.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Quinine.]
[N06AB04, citalopram, Quinine may increase the QTc-prolonging activities of Citalopram.]
[H01AC07, somapacitan, The therapeutic efficacy of Quinine can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Quinine.]
[L04AA48, belumosudil, The serum concentration of Quinine can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Quinine is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Quinine.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Quinine can be decreased when used in combination with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Quinine is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Quinine.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Quinine.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Quinine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Quinine.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Quinine.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Quinine is combined with Gliquidone.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Quinine.]
[N06AX25, St. John's wort extract, The metabolism of Quinine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Quinine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Quinine can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Quinine.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Quinine.]
[D11AH08, abrocitinib, The serum concentration of Quinine can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Quinine.]
[B01AD11, tenecteplase, The therapeutic efficacy of Tenecteplase can be increased when used in combination with Quinine.]
[B06AX04, mitapivat, The serum concentration of Quinine can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Quinine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Quinine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Quinine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Quinine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Quinine.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Quinine.]
[C01EB24, mavacamten, The serum concentration of Quinine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Quinine can be increased when used in combination with Clopamide.]
[A02BC08, vonoprazan, The metabolism of Quinine can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Quinine is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Quinine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Quinine.]
