[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Antipyrine is combined with Neomycin.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Cefpirome is combined with Neomycin.]
[A04AA03, tropisetron, Tropisetron may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of nephrotoxicity can be increased when Imidazole salicylate is combined with Neomycin.]
[B01AC10, indobufen, The risk or severity of nephrotoxicity can be increased when Indobufen is combined with Neomycin.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of nephrotoxicity can be increased when Valdecoxib is combined with Neomycin.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Neomycin is combined with Lanatoside C.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of nephrotoxicity can be increased when Parecoxib is combined with Neomycin.]
[B01AB12, bemiparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Bemiparin.]
[S01AD03, acyclovir, The risk or severity of nephrotoxicity can be increased when Acyclovir is combined with Neomycin.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of nephrotoxicity can be increased when Kebuzone is combined with Neomycin.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07BC04, lofexidine, Lofexidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AB09, lonazolac, The risk or severity of nephrotoxicity can be increased when Lonazolac is combined with Neomycin.]
[M02AA31, loxoprofen, The risk or severity of nephrotoxicity can be increased when Loxoprofen is combined with Neomycin.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Neomycin.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium phosphate.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA14, methampicillin, The serum concentration of Neomycin can be decreased when it is combined with Metampicillin.]
[N05AD03, metylperon, Melperone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF07, tenofovir disoproxil, The risk or severity of nephrotoxicity can be increased when Tenofovir disoproxil is combined with Neomycin.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Neomycin.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Neomycin.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Cyclosporine is combined with Neomycin.]
[M02AA02, mofebutazone, The risk or severity of nephrotoxicity can be increased when Mofebutazone is combined with Neomycin.]
[M01AX22, morniflumate, The risk or severity of nephrotoxicity can be increased when Morniflumate is combined with Neomycin.]
[M01AH05, etoricoxib, The risk or severity of nephrotoxicity can be increased when Etoricoxib is combined with Neomycin.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Dantrolene.]
[M01AX01, nabumetone, The risk or severity of nephrotoxicity can be increased when Nabumetone is combined with Neomycin.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01AA01, demeclocycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Neomycin.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01DX16, nicorandil, Nicorandil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03AC11, cisatracurium, Neomycin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A07EC03, olsalazine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Neomycin.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Neomycin is combined with Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CH02, indigo carmine, Indigotindisulfonic acid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AE12, oxaprozin, The risk or severity of nephrotoxicity can be increased when Oxaprozin is combined with Neomycin.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CE05, phenethicillin, The serum concentration of Neomycin can be decreased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Phenol.]
[N06AA08, dibenzepin, Neomycin may increase the neurotoxic activities of Dibenzepin.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Clodronic acid.]
[S01BC03, diclofenac, The risk or severity of nephrotoxicity can be increased when Diclofenac is combined with Neomycin.]
[J01CF01, dicloxacillin, The serum concentration of Neomycin can be decreased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Foscarnet is combined with Neomycin.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AD05, pipamperone, Neomycin may increase the neurotoxic activities of Pipamperone.]
[C03CA03, piretanide, The serum concentration of Neomycin can be increased when it is combined with Piretanide.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[D07XC04, diflucortolone, Difluocortolone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Neomycin.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Neomycin is combined with Digitoxin.]
[C01AA05, digoxin, The serum concentration of Digoxin can be decreased when it is combined with Neomycin.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Atazanavir is combined with Neomycin.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Pramocaine.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CE03, propicillin, The serum concentration of Neomycin can be decreased when it is combined with Propicillin.]
[N02BB04, propyphenazone, The risk or severity of nephrotoxicity can be increased when Propyphenazone is combined with Neomycin.]
[M01AB14, proglumetacin, The risk or severity of nephrotoxicity can be increased when Proglumetacin is combined with Neomycin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Diphenhydramine.]
[N06AA23, quinupramine, Neomycin may increase the neurotoxic activities of Quinupramine.]
[N05AL04, remoxipride, Remoxipride may increase the neurotoxic activities of Neomycin.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AX08, risperidone, Risperidone may increase the neurotoxic activities of Neomycin.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Ropivacaine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of nephrotoxicity can be increased when Ketorolac is combined with Neomycin.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of nephrotoxicity can be increased when Salsalate is combined with Neomycin.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA16, dothiepin, Neomycin may increase the neurotoxic activities of Dosulepin.]
[N06AA12, doxepin, Doxepin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AD08, droperidol, Droperidol may increase the neurotoxic activities of Neomycin.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AL02, sultopride, Neomycin may increase the neurotoxic activities of Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CG02, tazobactam, The therapeutic efficacy of Neomycin can be decreased when used in combination with Tazobactam.]
[J01CA17, temocillin, The serum concentration of Neomycin can be decreased when it is combined with Temocillin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of nephrotoxicity can be increased when Tenoxicam is combined with Neomycin.]
[N05AB05, thiopropazate, Neomycin may increase the neurotoxic activities of Thiopropazate.]
[N06AX14, tianeptine, Neomycin may increase the neurotoxic activities of Tianeptine.]
[M01AG02, tolfenamic acid, The risk or severity of nephrotoxicity can be increased when Tolfenamic acid is combined with Neomycin.]
[N06AG03, toloxatone, Toloxatone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03CA04, torsemide, The risk or severity of ototoxicity can be increased when Torasemide is combined with Neomycin.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Neomycin.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AL06, veralipride, Neomycin may increase the neurotoxic activities of Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Neomycin.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AB04, zomepirac, The risk or severity of nephrotoxicity can be increased when Zomepirac is combined with Neomycin.]
[N03AX15, zonisamide, Zonisamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AX11, zotepine, Neomycin may increase the neurotoxic activities of Zotepine.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Carboplatin is combined with Neomycin.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01BG01, moricizine, Moricizine may increase the neurotoxic activities of Neomycin.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of nephrotoxicity can be increased when Meloxicam is combined with Neomycin.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AE03, sertindole, Neomycin may increase the neurotoxic activities of Sertindole.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Tacrolimus is combined with Neomycin.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B05AA05, dextran, Dextran may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Etidronic acid.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AE04, fenoprofen, The risk or severity of nephrotoxicity can be increased when Fenoprofen is combined with Neomycin.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of nephrotoxicity can be increased when Floctafenine is combined with Neomycin.]
[J01CF05, floxacillin, The serum concentration of Neomycin can be decreased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA14, melitracen, Neomycin may increase the neurotoxic activities of Melitracen.]
[V03AZ01, ethanol, Ethanol may increase the neurotoxic activities of Neomycin.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01BC02, fluorouracil, Neomycin can cause a decrease in the absorption of Fluorouracil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AF01, flupenthixol, Flupentixol may increase the neurotoxic activities of Neomycin.]
[N05AB02, fluphenazine, Fluphenazine may increase the neurotoxic activities of Neomycin.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of nephrotoxicity can be increased when Flurbiprofen is combined with Neomycin.]
[N05AG01, fluspirilene, Neomycin may increase the neurotoxic activities of Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of nephrotoxicity can be increased when Framycetin is combined with Neomycin.]
[L01BC03, tegafur, Tegafur may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Neomycin.]
[C03CA01, furosemide, Furosemide may increase the ototoxic activities of Neomycin.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Alendronic acid.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AL05, amisulpride, Neomycin may increase the neurotoxic activities of Amisulpride.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Neomycin.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01EX02, sorafenib, The serum concentration of Sorafenib can be decreased when it is combined with Neomycin.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Neomycin is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AH04, quetiapine, Quetiapine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Heparin.]
[B05CB03, magnesium citrate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium citrate.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium gluconate.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Neomycin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA26, nimesulide, The risk or severity of nephrotoxicity can be increased when Nimesulide is combined with Neomycin.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of nephrotoxicity can be increased when Hydrochlorothiazide is combined with Neomycin.]
[B05XA17, potassium acetate, Potassium acetate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BD06, propiverine, Propiverine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AX07, prothipendyl, Neomycin may increase the neurotoxic activities of Prothipendyl.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of nephrotoxicity can be increased when Ibuprofen is combined with Neomycin.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B05CB02, sodium citrate, Neomycin may increase the neurotoxic activities of Sodium citrate.]
[L01AA06, ifosfamide, Ifosfamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01CD01, paclitaxel, Neomycin may increase the neurotoxic activities of Paclitaxel.]
[R01AD07, tixocortol, Tixocortol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01BC01, indomethacin, The risk or severity of nephrotoxicity can be increased when Indomethacin is combined with Neomycin.]
[A11HA07, inositol, Inositol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX17, milnacipran, Milnacipran may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Neomycin is combined with Cyclopentamine.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V03AB01, ipecac, Ipecac may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Neomycin.]
[N06AA13, iprindole, Neomycin may increase the neurotoxic activities of Iprindole.]
[N05AA07, chlorproethazine, Neomycin may increase the neurotoxic activities of Chlorproethazine.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AX05, inosine pranobex, Inosine pranobex may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA24, kanamycin, The risk or severity of nephrotoxicity can be increased when Kanamycin is combined with Neomycin.]
[N01AX03, ketamine, Ketamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC22, prasugrel, Prasugrel may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA10, ketoprofen, The risk or severity of nephrotoxicity can be increased when Ketoprofen is combined with Neomycin.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of nephrotoxicity can be increased when Tiaprofenic acid is combined with Neomycin.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Neomycin.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The risk or severity of nephrotoxicity can be increased when Etacrynic acid is combined with Neomycin.]
[J01CA11, amdinocillin, The serum concentration of Neomycin can be decreased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Neomycin can be decreased when it is combined with Pivmecillinam.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Lincomycin.]
[S01AA21, amikacin, The risk or severity of nephrotoxicity can be increased when Amikacin is combined with Neomycin.]
[N06AA07, lofepramine, Neomycin may increase the neurotoxic activities of Lofepramine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AH01, loxapine, Loxapine may increase the neurotoxic activities of Neomycin.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Neomycin.]
[B05XA11, magnesium chloride, Magnesium chloride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A12CC10, magnesium oxide, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of neuromuscular blockade can be increased when Magnesium sulfate is combined with Neomycin.]
[L01BA05, pralatrexate, Pralatrexate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Neomycin.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA18, meclofenamic acid, The risk or severity of nephrotoxicity can be increased when Meclofenamic acid is combined with Neomycin.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be decreased when it is combined with Neomycin.]
[B01AB06, nadroparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Nadroparin.]
[B01AB05, enoxaparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Enoxaparin.]
[B01AB04, dalteparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Dalteparin.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Mepivacaine.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AC03, mesoridazine, Mesoridazine may increase the neurotoxic activities of Neomycin.]
[N05AX13, paliperidone, Paliperidone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
