[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Gatifloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Gatifloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Gatifloxacin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Gatifloxacin.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Gatifloxacin.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Gatifloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Granisetron.]
[J01CF02, cloxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Gatifloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Gatifloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Gatifloxacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Gatifloxacin.]
[J01CA18, hetacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Hetacillin.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Gatifloxacin.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desflurane.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Gatifloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Gatifloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Gatifloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Gatifloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Gatifloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desloratadine.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Gatifloxacin.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Gatifloxacin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Emedastine.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Gatifloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Gatifloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levocabastine.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Gatifloxacin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Gatifloxacin.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Gatifloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Gatifloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Adenosine.]
[J01CA14, methampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Metampicillin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cyclizine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Melperone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Gatifloxacin.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Gatifloxacin is combined with Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Gatifloxacin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Gatifloxacin.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Gatifloxacin.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Gatifloxacin.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Gatifloxacin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Gatifloxacin.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Gatifloxacin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Gatifloxacin.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Nefazodone.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Gatifloxacin.]
[M03AC11, cisatracurium, Gatifloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Gatifloxacin.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Gatifloxacin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxaliplatin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Gatifloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Gatifloxacin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Gatifloxacin.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Gatifloxacin.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Gatifloxacin.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Gatifloxacin.]
[J01CE05, phenethicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Gatifloxacin.]
[J01CF01, dicloxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Gatifloxacin.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Gatifloxacin.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Gatifloxacin.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Gatifloxacin.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Gatifloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Gatifloxacin.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Gatifloxacin.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Gatifloxacin.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Gatifloxacin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Gatifloxacin.]
[J01CE03, propicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Gatifloxacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Gatifloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cisapride.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be increased when used in combination with Gatifloxacin.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Gatifloxacin.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Gatifloxacin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Gatifloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Gatifloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Gatifloxacin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Gatifloxacin.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Gatifloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Gatifloxacin.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Gatifloxacin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Gatifloxacin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Gatifloxacin.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Droperidol.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Gatifloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Gatifloxacin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Temocillin.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Gatifloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terodiline.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Gatifloxacin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Toremifene.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Gatifloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Gatifloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Gatifloxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Gatifloxacin.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Gatifloxacin.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Gatifloxacin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Gatifloxacin.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Gatifloxacin.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Gatifloxacin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Gatifloxacin.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Gatifloxacin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Gatifloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Gatifloxacin.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Gatifloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Gatifloxacin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Gatifloxacin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Gatifloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Gatifloxacin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Gatifloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Gatifloxacin.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Gatifloxacin.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gatifloxacin.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Gatifloxacin.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Gatifloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Gatifloxacin.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Gatifloxacin.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Gatifloxacin.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Gatifloxacin.]
[J01CF05, floxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Gatifloxacin.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Gatifloxacin.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Gatifloxacin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Gatifloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Gatifloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Gatifloxacin.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Gatifloxacin.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Gatifloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Gatifloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Flupentixol.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Gatifloxacin.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Gatifloxacin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gatifloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gallopamil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Gatifloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Gatifloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Gatifloxacin.]
[A12AA13, calcium citrate, Calcium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA10, calcium gluceptate, Calcium glucoheptonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA05, calcium lactate, Calcium lactate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methsuximide.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Gatifloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Gatifloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Gatifloxacin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Gatifloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Gatifloxacin.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Gatifloxacin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Gatifloxacin.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Gatifloxacin.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Gatifloxacin.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Gatifloxacin.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Hydroxyzine.]
[R02AX02, ibuprofen, Ibuprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Gatifloxacin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Gatifloxacin.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Gatifloxacin.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gatifloxacin.]
[S01BC01, indomethacin, Indomethacin may increase the neuroexcitatory activities of Gatifloxacin.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Milnacipran.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Gatifloxacin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Gatifloxacin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Gatifloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Gatifloxacin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Gatifloxacin.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Gatifloxacin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gatifloxacin.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Gatifloxacin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Gatifloxacin.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Gatifloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mizolastine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Gatifloxacin.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Gatifloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Gatifloxacin.]
[J01CA11, amdinocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Gatifloxacin can be increased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Lidocaine.]
