[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Repaglinide.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Cyclopenthiazide.]
[J01FA03, midecamycin, The serum concentration of Repaglinide can be increased when it is combined with Midecamycin.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Repaglinide.]
[L01AA01, cyclophosphamide, The metabolism of Repaglinide can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Repaglinide.]
[S01XA18, cyclosporine, The serum concentration of Repaglinide can be increased when it is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Repaglinide.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Repaglinide can be decreased when combined with Conivaptan.]
[G03XA01, danazol, The metabolism of Repaglinide can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Repaglinide can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, Daunorubicin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C07AB12, nebivolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Repaglinide can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Repaglinide can be decreased when combined with Nilutamide.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Repaglinide.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Repaglinide.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Repaglinide.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Repaglinide.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Repaglinide.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Repaglinide.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Repaglinide.]
[G04BD04, oxybutynin, The metabolism of Repaglinide can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Repaglinide can be increased when combined with Adalimumab.]
[N03AC01, paramethadione, The metabolism of Repaglinide can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Repaglinide.]
[B01AC04, clopidogrel, The risk or severity of hypoglycemia can be increased when Clopidogrel is combined with Repaglinide.]
[V03AH01, diazoxide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Repaglinide.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Repaglinide can be increased when used in combination with Phthalylsulfathiazole.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Repaglinide.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Pioglitazone.]
[L01DC04, ixabepilone, The serum concentration of Repaglinide can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Repaglinide.]
[C03CA03, piretanide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C08CA03, isradipine, The metabolism of Repaglinide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Repaglinide.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Repaglinide.]
[C01AA05, digoxin, Digoxin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C10AX09, ezetimibe, Repaglinide may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Repaglinide may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Repaglinide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Repaglinide can be decreased when combined with Treprostinil.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Repaglinide.]
[C08DB01, diltiazem, The metabolism of Repaglinide can be decreased when combined with Diltiazem.]
[B01AC07, dipyridamole, Repaglinide may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Repaglinide.]
[A03FA02, cisapride, The metabolism of Repaglinide can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The serum concentration of Repaglinide can be increased when it is combined with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Repaglinide.]
[P03AA04, disulfiram, Disulfiram may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Repaglinide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Repaglinide can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Repaglinide can be decreased when combined with Aprepitant.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Fosamprenavir.]
[S01BC05, ketorolac, The metabolism of Repaglinide can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Repaglinide can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Repaglinide.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Repaglinide.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Repaglinide.]
[L01DB01, doxorubicin, Repaglinide may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Repaglinide.]
[C10AA01, simvastatin, Simvastatin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Repaglinide can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Repaglinide.]
[J01MA05, temafloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Repaglinide can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Repaglinide.]
[C07AA16, tertatolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Repaglinide.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Repaglinide.]
[C03CA04, torsemide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Repaglinide.]
[L02AE04, triptorelin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Repaglinide.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Repaglinide.]
[C08CA12, mepirodipine, The metabolism of Repaglinide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Epinephrine.]
[N03AX15, zonisamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Repaglinide.]
[N02CA02, ergotamine, The metabolism of Repaglinide can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The serum concentration of Repaglinide can be increased when it is combined with Erythromycin.]
[A02BC02, pantoprazole, The excretion of Repaglinide can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The excretion of Repaglinide can be decreased when combined with Conjugated estrogens.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Repaglinide.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Repaglinide.]
[C10AA04, fluvastatin, The metabolism of Repaglinide can be decreased when combined with Fluvastatin.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Repaglinide.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Repaglinide.]
[L04AD02, tacrolimus, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Fleroxacin.]
[R06AX11, astemizole, Astemizole may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Repaglinide can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Repaglinide.]
[L02AE02, leuprolide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Leuprolide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Repaglinide which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA01, levocarnitine, The excretion of Repaglinide can be decreased when combined with Levocarnitine.]
[C08CA02, felodipine, The metabolism of Repaglinide can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Repaglinide.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Repaglinide.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Repaglinide.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Repaglinide.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Repaglinide.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Repaglinide.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Repaglinide.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Repaglinide.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Repaglinide.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Repaglinide.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Repaglinide.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Repaglinide.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Repaglinide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Repaglinide.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Repaglinide.]
[J05AE10, darunavir, The metabolism of Repaglinide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Repaglinide can be decreased when combined with Eszopiclone.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Repaglinide.]
[C10AB04, gemfibrozil, The serum concentration of Repaglinide can be increased when it is combined with Gemfibrozil.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Liraglutide.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Repaglinide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Repaglinide.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Glipizide.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Repaglinide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Repaglinide.]
[L02AE03, goserelin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Repaglinide.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Repaglinide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Repaglinide.]
[L02AE05, histrelin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin aspart.]
[L01CE02, irinotecan, The excretion of Repaglinide can be decreased when combined with Irinotecan.]
[C09CA01, losartan, Losartan may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Repaglinide.]
[C08CA10, nilvadipine, The metabolism of Repaglinide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Repaglinide.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Repaglinide.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Repaglinide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Repaglinide.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Repaglinide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Hydroxychloroquine.]
[J04AB04, rifabutin, The metabolism of Repaglinide can be increased when combined with Rifabutin.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Repaglinide.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Repaglinide.]
[L01AA06, ifosfamide, The metabolism of Repaglinide can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Repaglinide.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Repaglinide.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Repaglinide.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Repaglinide.]
[C03BA11, indapamide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Repaglinide.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Repaglinide.]
[N01BB08, articaine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Sitagliptin.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Vildagliptin.]
[C10AA06, cerivastatin, Cerivastatin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C07AA01, alprenolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Repaglinide.]
[N06AF05, iproniazid, Iproniazid may increase the hypoglycemic activities of Repaglinide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Repaglinide.]
[J04AC01, isoniazid, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Exenatide.]
[P02CF01, ivermectin, The excretion of Repaglinide can be decreased when combined with Ivermectin.]
[J01FA07, josamycin, The serum concentration of Repaglinide can be increased when it is combined with Josamycin.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Repaglinide.]
[L04AC07, tocilizumab, The metabolism of Repaglinide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Repaglinide.]
[J02AB02, ketoconazole, The serum concentration of Repaglinide can be increased when it is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Repaglinide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Repaglinide can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Repaglinide can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Repaglinide can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Repaglinide is combined with Ketotifen.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Repaglinide.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Repaglinide can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Labetalol.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Etacrynic acid.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Repaglinide.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Repaglinide.]
[A07DA03, loperamide, The metabolism of Repaglinide can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Repaglinide can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The serum concentration of Repaglinide can be increased when it is combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Repaglinide.]
[L01EA03, nilotinib, The metabolism of Repaglinide can be decreased when combined with Nilotinib.]
[C03BA05, mefruside, The therapeutic efficacy of Repaglinide can be increased when used in combination with Mefruside.]
[N03AB04, mephenytoin, The metabolism of Repaglinide can be decreased when combined with Mephenytoin.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Repaglinide.]
[N05AX13, paliperidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Lanreotide.]
[S01EC05, methazolamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The metabolism of Repaglinide can be decreased when combined with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Repaglinide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, The metabolism of Repaglinide can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Repaglinide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Repaglinide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Repaglinide.]
[C03BA08, metolazone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Repaglinide can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The metabolism of Repaglinide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Repaglinide.]
[G03XB01, mifepristone, The serum concentration of Repaglinide can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The excretion of Repaglinide can be decreased when combined with Valsartan.]
[J01FA11, miocamycin, The serum concentration of Repaglinide can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Repaglinide can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Repaglinide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Repaglinide.]
[N02AA01, morphine, The metabolism of Repaglinide can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Repaglinide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Repaglinide can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Repaglinide.]
[P01BA06, amodiaquine, The metabolism of Repaglinide can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Repaglinide can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Repaglinide.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Repaglinide.]
[C07AA12, nadolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Nadolol.]
[V03AB15, naloxone, The metabolism of Repaglinide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Repaglinide can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Repaglinide.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Repaglinide.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Repaglinide can be increased when used in combination with Pipemidic acid.]
[N05AX14, iloperidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Repaglinide.]
[C09CA07, telmisartan, Repaglinide may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[C10AD02, niacin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Repaglinide.]
[C08CA04, nicardipine, The metabolism of Repaglinide can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, Repaglinide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Repaglinide.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Repaglinide.]
[C08CA08, nitrendipine, Repaglinide may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Repaglinide.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Repaglinide.]
[G01AA01, nystatin, The excretion of Repaglinide can be decreased when combined with Nystatin.]
[H01CB02, octreotide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Ofloxacin.]
[J01FA05, oleandomycin, The serum concentration of Repaglinide can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Repaglinide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Repaglinide can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Repaglinide.]
[G04CA02, tamsulosin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Tamsulosin.]
[C01AC01, ouabain, The excretion of Repaglinide can be decreased when combined with Ouabain.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Repaglinide.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Repaglinide can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Repaglinide.]
[V04CH30, 4-aminohippuric acid, The excretion of Repaglinide can be decreased when combined with Aminohippuric acid.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Repaglinide.]
[N05AH05, asenapine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Asenapine.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Repaglinide.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Repaglinide.]
[J01MA03, pefloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Repaglinide.]
[N05CA01, pentobarbital, The metabolism of Repaglinide can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Repaglinide.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Repaglinide.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Phenformin.]
