[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Antipyrine.]
[N07XX04, sodium oxybate, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Yohimbine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Yohimbine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Yohimbine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Yohimbine may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Yohimbine.]
[N05AA01, chlorpromazine, The metabolism of Yohimbine can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Yohimbine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Yohimbine.]
[A11CC05, cholecalciferol, The metabolism of Yohimbine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The therapeutic efficacy of Etifoxine can be increased when used in combination with Yohimbine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Yohimbine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The therapeutic efficacy of Ethyl loflazepate can be increased when used in combination with Yohimbine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Yohimbine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Yohimbine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Yohimbine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Yohimbine can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Yohimbine is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Yohimbine can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Yohimbine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Yohimbine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Yohimbine is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Yohimbine.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Yohimbine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Yohimbine.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Formoterol is combined with Yohimbine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Yohimbine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Yohimbine can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Yohimbine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Yohimbine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Yohimbine.]
[N07CA02, cinnarizine, The metabolism of Yohimbine can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Yohimbine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Yohimbine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Yohimbine is combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Yohimbine.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Yohimbine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Yohimbine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The metabolism of Yohimbine can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Yohimbine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Yohimbine.]
[N06AA04, clomipramine, The serum concentration of Yohimbine can be increased when it is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Yohimbine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Yohimbine.]
[C01EB24, mavacamten, The serum concentration of Yohimbine can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Clothiapine.]
[N05BA21, clotiazepam, The therapeutic efficacy of Clotiazepam can be increased when used in combination with Yohimbine.]
[A04AA01, ondansetron, The therapeutic efficacy of Ondansetron can be increased when used in combination with Yohimbine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Yohimbine.]
[N05AH02, clozapine, The metabolism of Yohimbine can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The therapeutic efficacy of Halazepam can be increased when used in combination with Yohimbine.]
[H01AC08, somatrogon, The metabolism of Yohimbine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Yohimbine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Yohimbine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Yohimbine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Yohimbine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Yohimbine.]
[A03AB10, hexocyclium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Yohimbine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Yohimbine can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Yohimbine is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Yohimbine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Yohimbine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Yohimbine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Yohimbine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Yohimbine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Yohimbine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Yohimbine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Yohimbine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Yohimbine can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The therapeutic efficacy of Ketazolam can be increased when used in combination with Yohimbine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Yohimbine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Yohimbine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Yohimbine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Yohimbine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Yohimbine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Yohimbine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Yohimbine is combined with Loxoprofen.]
[C09AA03, lisinopril, Yohimbine may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Yohimbine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Yohimbine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Yohimbine.]
[R06AD07, mequitazine, The metabolism of Yohimbine can be decreased when combined with Mequitazine.]
[N04AA03, methixene, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Yohimbine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Yohimbine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Yohimbine may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Yohimbine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Yohimbine may decrease the antihypertensive activities of Cyclopenthiazide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Yohimbine.]
[S01XA18, cyclosporine, The metabolism of Yohimbine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Yohimbine.]
[R06AX02, cyproheptadine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Yohimbine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Yohimbine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Yohimbine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Yohimbine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Yohimbine may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Yohimbine is combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Yohimbine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Yohimbine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Deanol.]
[C02CC04, debrisoquin, Yohimbine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Yohimbine.]
[N05BA16, nordazepam, The therapeutic efficacy of Nordazepam can be increased when used in combination with Yohimbine.]
[C07AB12, nebivolol, Yohimbine may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Yohimbine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Niaprazine.]
[C01DX16, nicorandil, Yohimbine may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Yohimbine.]
[C01CA23, theodrenaline, Yohimbine may decrease the hypertensive activities of Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Yohimbine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Yohimbine is combined with Escitalopram.]
[G04BD08, solifenacin, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Yohimbine.]
[N06AA01, desipramine, The serum concentration of Yohimbine can be increased when it is combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Yohimbine.]
[C09XA02, aliskiren, Yohimbine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Yohimbine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Yohimbine.]
[S03BA01, dexamethasone, The metabolism of Yohimbine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Oxiracetam.]
[N04AA08, dexetimide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Yohimbine.]
[A03AA01, oxyphencyclimine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Yohimbine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Yohimbine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Yohimbine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Yohimbine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Yohimbine can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Diamorphine.]
[N05BA01, diazepam, The therapeutic efficacy of Diazepam can be increased when used in combination with Yohimbine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Yohimbine.]
[V03AH01, diazoxide, Yohimbine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Yohimbine.]
[N06AA08, dibenzepin, The serum concentration of Yohimbine can be increased when it is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Yohimbine.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Yohimbine.]
[A03AA07, dicyclomine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Yohimbine may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pipamperone.]
[A03AB14, pipenzolate, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Yohimbine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Pirbuterol is combined with Yohimbine.]
[A08AA03, diethylpropion, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Yohimbine can be decreased when combined with Isradipine.]
[A03AB11, poldine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Yohimbine.]
[C02DB01, dihydralazine, Yohimbine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Yohimbine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Yohimbine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Yohimbine.]
[J05AE08, atazanavir, The metabolism of Yohimbine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Yohimbine may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Yohimbine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Yohimbine.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pridinol.]
[R06AB03, dimethindene, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Procaterol is combined with Yohimbine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Yohimbine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Yohimbine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Yohimbine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Yohimbine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Yohimbine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Quazepam.]
[C09AA06, quinapril, Yohimbine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Yohimbine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The serum concentration of Yohimbine can be increased when it is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Yohimbine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Yohimbine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Yohimbine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Reproterol.]
[C01BA03, disopyramide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Yohimbine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Yohimbine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Yohimbine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Yohimbine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Yohimbine.]
[A04AD12, aprepitant, The metabolism of Yohimbine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Yohimbine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Yohimbine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Yohimbine.]
[C02KX02, ambrisentan, Yohimbine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Yohimbine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Yohimbine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Yohimbine.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Yohimbine.]
[A03FA03, domperidone, The metabolism of Yohimbine can be decreased when combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Yohimbine.]
[N06AA16, dothiepin, The serum concentration of Yohimbine can be increased when it is combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Yohimbine.]
[N06AA12, doxepin, The serum concentration of Yohimbine can be increased when it is combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Yohimbine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Yohimbine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Yohimbine can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Yohimbine may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Yohimbine.]
[C07AB13, talinolol, Yohimbine may decrease the antihypertensive activities of Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Yohimbine.]
[G04CA03, terazosin, Yohimbine may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Yohimbine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Yohimbine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Yohimbine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Yohimbine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Yohimbine is combined with Thiopropazate.]
[G04BD01, emepronium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The serum concentration of Yohimbine can be increased when it is combined with Tianeptine.]
[C09AA02, enalapril, Yohimbine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The therapeutic efficacy of Tofisopam can be increased when used in combination with Yohimbine.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Yohimbine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Yohimbine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Yohimbine.]
[C03CA04, torsemide, Yohimbine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Yohimbine is combined with Tramazoline.]
[C09AA10, trandolapril, Yohimbine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The therapeutic efficacy of Loprazolam can be increased when used in combination with Yohimbine.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Yohimbine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Yohimbine is combined with Triclofos.]
[A03AB08, tridihexethyl, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Yohimbine.]
[N04AA12, tropatepine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Yohimbine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Yohimbine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Yohimbine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Yohimbine may decrease the hypertensive activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Yohimbine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Yohimbine is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Yohimbine is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Yohimbine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, Yohimbine may decrease the hypertensive activities of Epinephrine.]
[C09AA15, zofenopril, Yohimbine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Yohimbine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Yohimbine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Yohimbine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Yohimbine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Yohimbine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Yohimbine.]
[N02CA02, ergotamine, The metabolism of Yohimbine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Yohimbine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be increased when used in combination with Yohimbine.]
[H05BX01, cinacalcet, The metabolism of Yohimbine can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Yohimbine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Yohimbine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Yohimbine.]
[N04AA05, profenamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Yohimbine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Yohimbine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Yohimbine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Yohimbine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Yohimbine.]
[R06AX12, terfenadine, The metabolism of Yohimbine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Yohimbine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The therapeutic efficacy of Fluvoxamine can be increased when used in combination with Yohimbine.]
