[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Elbasvir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Grazoprevir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Grazoprevir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Alminoprofen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin argine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ixekizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Reslizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Obiltoxaximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Venetoclax.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Bromazepam can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Amineptine can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Atezolizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Obeticholic acid.]
[G03CA57, estrogens, conjugated (USP), Velpatasvir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Bumetanide can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Levobupivacaine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Buprenorphine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Rabeprazole may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Astaxanthin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Bezlotoxumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Olaratumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Azelastine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Rucaparib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Azosemide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Brodalumab.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Telotristat ethyl.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ribociclib.]
[G03CA57, estrogens, conjugated (USP), Balsalazide may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Bamifylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Avelumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ocrelizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Dupilumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Pregabalin is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Caffeine.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Benazepril.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Benazeprilat.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Benzthiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Daclizumab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Linezolid.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Tipranavir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Infliximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Infliximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Infliximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Infliximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Infliximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Midostaurin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Durvalumab.]
[G03CA57, estrogens, conjugated (USP), Brigatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Safinamide may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Sarilumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Betrixaban.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Guselkumab.]
[G03CA57, estrogens, conjugated (USP), Voxilaprevir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Enasidenib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Glecaprevir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Pibrentasvir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Palivizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Inotuzumab ozogamicin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Glutaric Acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Vaborbactam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Abemaciclib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bismuth subgallate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Efavirenz.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Lopinavir.]
[G03CA57, estrogens, conjugated (USP), Cefprozil may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefprozil may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Basiliximab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Acetylcysteine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Cannabinol.]
[G03CA57, estrogens, conjugated (USP), Canrenone may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Budesonide can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Bumadizone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Buthiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Letermovir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Benralizumab.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Butriptyline can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Emicizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Emicizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Capsaicin.]
[G03CA57, estrogens, conjugated (USP), Ertugliflozin may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Captopril can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Apalutamide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Carbamazepine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Caprylic acid.]
[G03CA57, estrogens, conjugated (USP), Carbidopa may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Carbidopa may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Interferon alfa-n1.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Evening primrose oil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Digoxin Immune Fab (Ovine).]
[G03CA57, estrogens, conjugated (USP), Carprofen may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Carvedilol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ibalizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ibalizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Burosumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Burosumab.]
[G03CA57, estrogens, conjugated (USP), Fostamatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cannabidiol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Erenumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Erenumab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Avatrombopag.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Baricitinib can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Cefepime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefetamet may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefodizime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ceforanide may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefpodoxime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Binimetinib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ceftibuten can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Elagolix can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Ivosidenib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Tildrakizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Tildrakizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Mogamulizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Mogamulizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Stiripentol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Lanadelumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Lanadelumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Antihemophilic factor (recombinant), PEGylated which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Fremanezumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Cemiplimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Cemiplimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Galcanezumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Galcanezumab.]
[G03CA57, estrogens, conjugated (USP), Dacomitinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Dacomitinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Carbutamide can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Lornoxicam may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Oxtriphylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Inotersen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chromic chloride which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Emapalumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Emapalumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Carmustine.]
[G03CA57, estrogens, conjugated (USP), Gilteritinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Glasdegib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ravulizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ravulizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Cilazapril.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Caplacizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Caplacizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Cilostazol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Triclabendazole.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Clarithromycin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Romosozumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Romosozumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Cloprednol can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Candesartan.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Etanercept.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Etanercept.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Etanercept.]
[G03CA57, estrogens, conjugated (USP), Choline magnesium trisalicylate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Ethanol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Cortivazol can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Risankizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Risankizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Medical Cannabis.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Polatuzumab vedotin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Polatuzumab vedotin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cefaclor can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cefaclor can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefadroxil.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefadroxil.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefamandole.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Selinexor.]
[G03CA57, estrogens, conjugated (USP), Cefatrizine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cefazolin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Darolutamide.]
[G03CA57, estrogens, conjugated (USP), Cefmetazole may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefonicid may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Pexidartinib.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefoperazone.]
[G03CA57, estrogens, conjugated (USP), The excretion of Relebactam can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Relebactam can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefotaxime.]
[G03CA57, estrogens, conjugated (USP), Cefotetan may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefotiam.]
[G03CA57, estrogens, conjugated (USP), Cefoxitin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefsulodin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ceftazidime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ceftazidime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cicletanine may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ceftizoxime can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Ceftriaxone.]
[G03CA57, estrogens, conjugated (USP), Cefuroxime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Cyclobenzaprine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Fedratinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Pitolisant.]
[G03CA57, estrogens, conjugated (USP), Istradefylline may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cyclothiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Brolucizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Brolucizumab.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin pork can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Human cytomegalovirus immune globulin.]
[G03CA57, estrogens, conjugated (USP), Daptomycin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cephalexin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cephalexin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cefaloridine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cefalotin.]
[G03CA57, estrogens, conjugated (USP), Cefapirin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefradine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Deflazacort can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab emtansine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab deruxtecan.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Trastuzumab deruxtecan.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Lasmiditan.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Elexacaftor.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Cenobamate.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Givosiran.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Diacerein.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Isatuximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Isatuximab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Bempedoic acid.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Eptinezumab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Remdesivir.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Gatifloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Gatifloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Osilodrostat.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Amprenavir.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Frovatriptan can be decreased when combined with Conjugated estrogens.]
