[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Donepezil.]
[A16AX16, givosiran, The serum concentration of Donepezil can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Donepezil.]
[R06AB02, dexchlorpheniramine, The metabolism of Donepezil can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Donepezil is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Donepezil can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Donepezil is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Donepezil is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Donepezil can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Donepezil can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Donepezil can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Donepezil is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Donepezil is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Donepezil.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Donepezil is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Donepezil is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Donepezil.]
[M01AH02, rofecoxib, The metabolism of Donepezil can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Donepezil can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Donepezil may increase the neuromuscular blocking activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Donepezil can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Donepezil.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Donepezil.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Donepezil.]
[L01EX17, capmatinib, The serum concentration of Donepezil can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Donepezil.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Donepezil is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Donepezil is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Donepezil.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Donepezil can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Remimazolam.]
[N07XX04, sodium oxybate, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Donepezil can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Donepezil is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Donepezil can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Donepezil is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Donepezil.]
[A10BB02, chlorpropamide, The metabolism of Donepezil can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Chlorprothixene can be decreased when used in combination with Donepezil.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Donepezil.]
[A11CC05, cholecalciferol, The metabolism of Donepezil can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Donepezil is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Donepezil is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Donepezil is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The metabolism of Donepezil can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The metabolism of Donepezil can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Donepezil can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Donepezil can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Donepezil can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Donepezil is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Donepezil is combined with Felbamate.]
[R03BA03, flunisolide, The therapeutic efficacy of Donepezil can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluocinolone acetonide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Donepezil.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Donepezil.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Donepezil is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Donepezil can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Donepezil can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Donepezil is combined with Gabapentin.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Donepezil.]
[L01XX73, sotorasib, The serum concentration of Donepezil can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Donepezil can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Donepezil is combined with Citalopram.]
[L04AA48, belumosudil, Belumosudil may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Donepezil is combined with Fexinidazole.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Donepezil.]
[M01AG01, mefenamic acid, The metabolism of Donepezil can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Donepezil can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Donepezil.]
[N06AX25, St. John's wort extract, The metabolism of Donepezil can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Donepezil can be decreased when combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Donepezil.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Donepezil.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Donepezil is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Donepezil can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Donepezil.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Donepezil.]
[C01EB24, mavacamten, The serum concentration of Donepezil can be decreased when it is combined with Mavacamten.]
[J02AC06, oteseconazole, The serum concentration of Donepezil can be increased when it is combined with Oteseconazole.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Donepezil is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Donepezil is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Donepezil is combined with Granisetron.]
[N05AH02, clozapine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Donepezil.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Donepezil.]
[H01AC08, somatrogon, The metabolism of Donepezil can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The therapeutic efficacy of Cocaine can be decreased when used in combination with Donepezil.]
[C02KB01, metyrosine, Donepezil may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Donepezil can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Donepezil.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Donepezil.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Donepezil.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Donepezil.]
[S01FA05, homatropine, The therapeutic efficacy of Homatropine can be decreased when used in combination with Donepezil.]
[L04AA13, leflunomide, The metabolism of Donepezil can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Donepezil is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Donepezil is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Donepezil is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Donepezil can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Donepezil can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The therapeutic efficacy of Donepezil can be decreased when used in combination with Ciclesonide.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Donepezil.]
[M01AH03, valdecoxib, The metabolism of Donepezil can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Donepezil is combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Donepezil.]
[J02AC02, itraconazole, The metabolism of Donepezil can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Donepezil can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Donepezil can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Donepezil may increase the bradycardic activities of Lacidipine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Donepezil.]
[S01BA03, cortisone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Donepezil can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Lormetazepam.]
[C08CA11, manidipine, The metabolism of Donepezil can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Donepezil.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Donepezil is combined with Medifoxamine.]
[C07AA14, mepindolol, Donepezil may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Donepezil.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Donepezil.]
[C04AX01, cyclandelate, Donepezil may increase the bradycardic activities of Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Donepezil is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Donepezil is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Donepezil is combined with Melperone.]
[S01FA04, cyclopentolate, The therapeutic efficacy of Cyclopentolate can be decreased when used in combination with Donepezil.]
[L01AA01, cyclophosphamide, The metabolism of Donepezil can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Donepezil.]
[S01XA18, cyclosporine, The metabolism of Donepezil can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Donepezil is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Donepezil can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Cyproheptadine can be decreased when used in combination with Donepezil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Donepezil.]
[C03XA02, conivaptan, The metabolism of Donepezil can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Donepezil can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Donepezil can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Donepezil is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Donepezil can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Donepezil is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Donepezil.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[M01AX01, nabumetone, The metabolism of Donepezil can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Nordazepam.]
[C07AB12, nebivolol, Donepezil may increase the bradycardic activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Donepezil can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Donepezil can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Donepezil is combined with Tiagabine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Donepezil.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Donepezil is combined with Normethadone.]
[N06AB10, escitalopram, The therapeutic efficacy of Escitalopram can be decreased when used in combination with Donepezil.]
[G04BD08, solifenacin, The therapeutic efficacy of Solifenacin can be decreased when used in combination with Donepezil.]
[N06AA01, desipramine, The therapeutic efficacy of Desipramine can be decreased when used in combination with Donepezil.]
[D07XC02, desoximetasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Desoxycortone.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Donepezil.]
[S03BA01, dexamethasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Donepezil is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Donepezil.]
[G04BD04, oxybutynin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Donepezil.]
[A08AA04, dexfenfluramine, The metabolism of Donepezil can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Donepezil.]
[L04AB04, adalimumab, The metabolism of Donepezil can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N06BA02, dextroamphetamine, The metabolism of Donepezil can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The therapeutic efficacy of Dextromethorphan can be decreased when used in combination with Donepezil.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Donepezil.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Donepezil is combined with Dextromoramide.]
[N06AB05, paroxetine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Donepezil.]
[B01AC04, clopidogrel, The metabolism of Donepezil can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Donepezil is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Donepezil.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Donepezil is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Donepezil.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Donepezil is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Donepezil.]
[S01BC03, diclofenac, The metabolism of Donepezil can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Donepezil.]
[A03AX04, pinaverium, Donepezil may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Donepezil is combined with Pipamperone.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Donepezil.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Donepezil.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Donepezil is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[C08CA03, isradipine, The metabolism of Donepezil can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Donepezil.]
[C01AA05, digoxin, Digoxin may increase the bradycardic activities of Donepezil.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Donepezil.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Donepezil.]
[J05AE08, atazanavir, The metabolism of Donepezil can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Donepezil can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Donepezil is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Donepezil can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Donepezil is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Donepezil is combined with Pridinol.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Donepezil.]
[M02AX03, dimethyl sulfoxide, The metabolism of Donepezil can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Donepezil.]
[C05CA03, diosmin, The metabolism of Donepezil can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The therapeutic efficacy of Diphenhydramine can be decreased when used in combination with Donepezil.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Donepezil is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Quazepam.]
[B01AC07, dipyridamole, The therapeutic efficacy of Donepezil can be decreased when used in combination with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Donepezil is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Donepezil is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Donepezil can be decreased when combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Donepezil.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Donepezil.]
[S02AA12, rifamycin SV, The metabolism of Donepezil can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Donepezil can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Donepezil.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Donepezil.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Donepezil is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Donepezil.]
[L01EX01, sunitinib, Sunitinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[A04AD12, aprepitant, The metabolism of Donepezil can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Donepezil can be decreased when combined with Bortezomib.]
[S01BC05, ketorolac, The metabolism of Donepezil can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Donepezil can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Donepezil.]
[N06AA16, dothiepin, The therapeutic efficacy of Dosulepin can be decreased when used in combination with Donepezil.]
[N06AA12, doxepin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Donepezil.]
[L01DB01, doxorubicin, The metabolism of Donepezil can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Donepezil is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Donepezil is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Donepezil is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Donepezil can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Donepezil is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Donepezil.]
[C07AB13, talinolol, Donepezil may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Donepezil can be decreased when used in combination with Corticotropin.]
[M01AC02, tenoxicam, The metabolism of Donepezil can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Donepezil can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Donepezil may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, Donepezil may increase the bradycardic activities of Tertatolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Donepezil is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Donepezil is combined with Thiopropazate.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Donepezil.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Donepezil is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Donepezil is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Donepezil may increase the bradycardic activities of Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Donepezil is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Donepezil can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Donepezil.]
[C03CA04, torsemide, The metabolism of Donepezil can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Donepezil is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Donepezil is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Donepezil is combined with Triclofos.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Donepezil.]
[H02CA01, trilostane, The therapeutic efficacy of Donepezil can be decreased when used in combination with Trilostane.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Donepezil.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Donepezil.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Donepezil.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Donepezil is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Donepezil is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Donepezil can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Donepezil may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Donepezil.]
[N06AX16, venlafaxine, The metabolism of Donepezil can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Donepezil can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Donepezil can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Donepezil is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Donepezil is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Donepezil is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Donepezil.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Donepezil is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Donepezil is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Donepezil can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Donepezil can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Donepezil can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Donepezil can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Donepezil can be decreased when combined with Fluvastatin.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Donepezil.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Donepezil.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Donepezil.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Donepezil.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Donepezil.]
