[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Idarubicin.]
[R03CC15, formoterol, The metabolism of Idarubicin can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Idarubicin.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Idarubicin.]
[A02BA01, cimetidine, The metabolism of Idarubicin can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Idarubicin can be decreased when combined with Cinnarizine.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Idarubicin.]
[N06AB04, citalopram, The metabolism of Idarubicin can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Idarubicin is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Idarubicin.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Anifrolumab.]
[R06AA04, clemastine, The metabolism of Idarubicin can be decreased when combined with Clemastine.]
[A10BB12, glimepiride, The metabolism of Idarubicin can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Idarubicin.]
[N06AX25, St. John's wort extract, The metabolism of Idarubicin can be decreased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Idarubicin can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Idarubicin.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Idarubicin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Idarubicin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Idarubicin.]
[C01EB24, mavacamten, The serum concentration of Idarubicin can be decreased when it is combined with Mavacamten.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Idarubicin can be decreased when combined with Ondansetron.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Idarubicin is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Idarubicin can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Idarubicin can be decreased when combined with Codeine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Idarubicin can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Idarubicin.]
[M01AH03, valdecoxib, The metabolism of Idarubicin can be decreased when combined with Valdecoxib.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Idarubicin.]
[N02CC05, almotriptan, The metabolism of Idarubicin can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Idarubicin.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Idarubicin.]
[L01EA01, imatinib, The serum concentration of Idarubicin can be increased when it is combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Idarubicin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Idarubicin.]
[C08CA11, manidipine, The metabolism of Idarubicin can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Idarubicin.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Idarubicin can be decreased when combined with Mequitazine.]
[R06AE03, cyclizine, The metabolism of Idarubicin can be decreased when combined with Cyclizine.]
[N05AD03, metylperon, The metabolism of Idarubicin can be decreased when combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Idarubicin.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Idarubicin.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Idarubicin.]
[N06AX07, minaprine, The metabolism of Idarubicin can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, Idarubicin may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Idarubicin can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Idarubicin can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Idarubicin can be decreased when combined with Rosuvastatin.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Idarubicin.]
[M01AH05, etoricoxib, The metabolism of Idarubicin can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Idarubicin.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Idarubicin.]
[J04BA02, dapsone, The metabolism of Idarubicin can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Idarubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Idarubicin.]
[A04AD11, nabilone, The metabolism of Idarubicin can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Idarubicin can be decreased when combined with Nabumetone.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Idarubicin.]
[N06AX06, nefazodone, The metabolism of Idarubicin can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Idarubicin can be decreased when combined with Nilutamide.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Idarubicin.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Idarubicin.]
[N06AB10, escitalopram, The serum concentration of Idarubicin can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Idarubicin.]
[N06AA01, desipramine, The metabolism of Idarubicin can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Idarubicin.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Idarubicin.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Idarubicin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Idarubicin can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Idarubicin can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Idarubicin can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Idarubicin can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Idarubicin can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Idarubicin can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Idarubicin can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Idarubicin can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Idarubicin can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Idarubicin can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Idarubicin can be decreased when combined with Diclofenac.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Idarubicin.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Idarubicin can be decreased when combined with Diethylstilbestrol.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Idarubicin.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Idarubicin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Idarubicin.]
[N02AA03, hydromorphone, The metabolism of Idarubicin can be decreased when combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Idarubicin.]
[J05AE08, atazanavir, The metabolism of Idarubicin can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Idarubicin can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Idarubicin can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Idarubicin can be decreased when combined with Dimethyl sulfoxide.]
[C05CA03, diosmin, The metabolism of Idarubicin can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Idarubicin.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Idarubicin.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Idarubicin.]
[A03FA02, cisapride, The metabolism of Idarubicin can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Idarubicin.]
[N05AL04, remoxipride, The metabolism of Idarubicin can be decreased when combined with Remoxipride.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Idarubicin can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The metabolism of Idarubicin can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Idarubicin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Idarubicin.]
[S01BC05, ketorolac, The metabolism of Idarubicin can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Idarubicin can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Idarubicin.]
[N06AA16, dothiepin, The metabolism of Idarubicin can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Idarubicin can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Idarubicin.]
[N06AB06, sertraline, The metabolism of Idarubicin can be decreased when combined with Sertraline.]
[C10AA01, simvastatin, The metabolism of Idarubicin can be decreased when combined with Simvastatin.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Idarubicin.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Idarubicin.]
[M01AC02, tenoxicam, The metabolism of Idarubicin can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Idarubicin can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Idarubicin.]
[N06BA09, atomoxetine, The metabolism of Idarubicin can be decreased when combined with Atomoxetine.]
[C03CA04, torsemide, The metabolism of Idarubicin can be decreased when combined with Torasemide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Idarubicin.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Idarubicin.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Idarubicin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Idarubicin.]
[S01GX10, epinastine, The metabolism of Idarubicin can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Idarubicin can be decreased when combined with Venlafaxine.]
[S01EA01, epinephrine, The metabolism of Idarubicin can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Idarubicin.]
[N05CF02, zolpidem, The metabolism of Idarubicin can be decreased when combined with Zolpidem.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Idarubicin.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Idarubicin.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Idarubicin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Idarubicin.]
[N03AG01, valproic acid, The metabolism of Idarubicin can be decreased when combined with Valproic acid.]
[H05BX01, cinacalcet, The metabolism of Idarubicin can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Idarubicin can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Estramustine.]
[J04AK02, ethambutol, The metabolism of Idarubicin can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Idarubicin can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Idarubicin can be decreased when combined with Ethinylestradiol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Idarubicin.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Idarubicin.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Idarubicin.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Idarubicin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Idarubicin.]
[R06AX12, terfenadine, The metabolism of Idarubicin can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Idarubicin can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Idarubicin can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Idarubicin.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Idarubicin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Idarubicin.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Idarubicin.]
[C08CA02, felodipine, The metabolism of Idarubicin can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Idarubicin can be decreased when combined with Fenfluramine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Idarubicin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Idarubicin.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Idarubicin.]
[N07AX03, cevimeline, The metabolism of Idarubicin can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Idarubicin.]
[J02AC01, fluconazole, The metabolism of Idarubicin can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Idarubicin.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Idarubicin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Idarubicin.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Idarubicin.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Idarubicin.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Idarubicin can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Idarubicin.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Idarubicin.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Idarubicin.]
[N06AB03, fluoxetine, The serum concentration of Idarubicin can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Idarubicin.]
[N05AB02, fluphenazine, The metabolism of Idarubicin can be decreased when combined with Fluphenazine.]
[S01BC04, flurbiprofen, The metabolism of Idarubicin can be decreased when combined with Flurbiprofen.]
[J05AE10, darunavir, The metabolism of Idarubicin can be decreased when combined with Darunavir.]
[N06DA04, galantamine, The metabolism of Idarubicin can be decreased when combined with Galantamine.]
[C10AB04, gemfibrozil, The metabolism of Idarubicin can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Idarubicin can be decreased when combined with Etravirine.]
[A10BB01, glyburide, The metabolism of Idarubicin can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Idarubicin can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, The metabolism of Idarubicin can be decreased when combined with Glipizide.]
[N05CM18, dexmedetomidine, The metabolism of Idarubicin can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Idarubicin can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Idarubicin.]
[C07AB09, esmolol, The metabolism of Idarubicin can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Idarubicin.]
[P01BX01, halofantrine, The metabolism of Idarubicin can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Idarubicin can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Idarubicin can be decreased when combined with Halothane.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Idarubicin.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Idarubicin.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Idarubicin.]
[C09CA01, losartan, The metabolism of Idarubicin can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Idarubicin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Idarubicin.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Idarubicin.]
[J05AG01, nevirapine, The metabolism of Idarubicin can be decreased when combined with Nevirapine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Idarubicin.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Idarubicin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Idarubicin is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Idarubicin.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Idarubicin.]
[N05BB01, hydroxyzine, The metabolism of Idarubicin can be decreased when combined with Hydroxyzine.]
[R02AX02, ibuprofen, The metabolism of Idarubicin can be decreased when combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Idarubicin.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Antilymphocyte immunoglobulin (horse).]
[M01AG01, mefenamic acid, The metabolism of Idarubicin can be decreased when combined with Mefenamic acid.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Idarubicin is combined with Fluticasone furoate.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Idarubicin can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Idarubicin is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Idarubicin is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Idarubicin.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Idarubicin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Idarubicin.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Idarubicin.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Articaine.]
[N05CH02, ramelteon, The metabolism of Idarubicin can be decreased when combined with Ramelteon.]
[C10AA06, cerivastatin, The metabolism of Idarubicin can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Idarubicin.]
[C07AA01, alprenolol, The metabolism of Idarubicin can be decreased when combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Idarubicin.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Idarubicin.]
[N06AF05, iproniazid, The metabolism of Idarubicin can be decreased when combined with Iproniazid.]
[P01AX06, atovaquone, The metabolism of Idarubicin can be decreased when combined with Atovaquone.]
[N04BX02, entacapone, The metabolism of Idarubicin can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Idarubicin can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Idarubicin.]
[N06AX18, reboxetine, The metabolism of Idarubicin can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Idarubicin can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Idarubicin.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Idarubicin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Idarubicin.]
[J02AB02, ketoconazole, The metabolism of Idarubicin can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Idarubicin can be decreased when combined with Olanzapine.]
[L04AA24, abatacept, The metabolism of Idarubicin can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Idarubicin can be decreased when combined with Rotigotine.]
[C07AG01, labetalol, The metabolism of Idarubicin can be decreased when combined with Labetalol.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Idarubicin.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Idarubicin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Idarubicin can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Idarubicin can be decreased when combined with Lisuride.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Lomustine.]
[C10AA02, lovastatin, The metabolism of Idarubicin can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Idarubicin.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Idarubicin is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Idarubicin can be decreased when combined with Maprotiline.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Idarubicin.]
[R06AE05, meclizine, The metabolism of Idarubicin can be decreased when combined with Meclizine.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Idarubicin.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Idarubicin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Idarubicin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Idarubicin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Idarubicin.]
[N03AB04, mephenytoin, The metabolism of Idarubicin can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The metabolism of Idarubicin can be decreased when combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Idarubicin.]
[A04AA04, dolasetron, The metabolism of Idarubicin can be decreased when combined with Dolasetron.]
[N07BC02, methadone, The metabolism of Idarubicin can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Idarubicin.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Idarubicin.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Idarubicin.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Idarubicin.]
[N05AA02, methotrimeprazine, The metabolism of Idarubicin can be decreased when combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Idarubicin can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Idarubicin.]
[V04CG05, methylene blue, The metabolism of Idarubicin can be decreased when combined with Methylene blue.]
