[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Leflunomide.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Voclosporin is combined with Leflunomide.]
[P03AX07, abametapir, The serum concentration of Leflunomide can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Leflunomide can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Leflunomide can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Leflunomide can be decreased when combined with Felbamate.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be decreased when it is combined with Leflunomide.]
[J01MB07, flumequine, The metabolism of Leflunomide can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Leflunomide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Leflunomide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Ponesimod is combined with Leflunomide.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Leflunomide.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Leflunomide.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be decreased when it is combined with Leflunomide.]
[J01MB06, cinoxacin, The metabolism of Leflunomide can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Leflunomide can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Leflunomide can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Leflunomide.]
[N06AB04, citalopram, The metabolism of Leflunomide can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Pegcetacoplan is combined with Leflunomide.]
[H01AC07, somapacitan, The metabolism of Leflunomide can be increased when combined with Somapacitan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Belumosudil is combined with Leflunomide.]
[P01CA03, fexinidazole, The serum concentration of Fexinidazole can be decreased when it is combined with Leflunomide.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Anifrolumab is combined with Leflunomide.]
[H01AC09, lonapegsomatropin, The metabolism of Leflunomide can be increased when combined with Lonapegsomatropin.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Leflunomide.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Leflunomide.]
[L01EA06, asciminib, The metabolism of Leflunomide can be decreased when combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Ropeginterferon alfa-2b is combined with Leflunomide.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Leflunomide.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Leflunomide.]
[N01BB10, levobupivacaine, The serum concentration of Levobupivacaine can be decreased when it is combined with Leflunomide.]
[L01EJ03, pacritinib, The serum concentration of Leflunomide can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be decreased when it is combined with Leflunomide.]
[S01EA04, clonidine, The serum concentration of Clonidine can be decreased when it is combined with Leflunomide.]
[C01EB24, mavacamten, The serum concentration of Leflunomide can be decreased when it is combined with Mavacamten.]
[J02AC06, oteseconazole, The serum concentration of Leflunomide can be increased when it is combined with Oteseconazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Spesolimab is combined with Leflunomide.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Deucravacitinib is combined with Leflunomide.]
[A04AA01, ondansetron, The serum concentration of Ondansetron can be decreased when it is combined with Leflunomide.]
[N05AH02, clozapine, The serum concentration of Clozapine can be decreased when it is combined with Leflunomide.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Leflunomide can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Bimekizumab is combined with Leflunomide.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Colchicine.]
[C10AC02, colestipol, Colestipol may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Antilymphocyte immunoglobulin (horse) is combined with Leflunomide.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[J01MB04, pipemidic acid, The metabolism of Leflunomide can be decreased when combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Leflunomide.]
[M01AG01, mefenamic acid, The serum concentration of Mefenamic acid can be decreased when it is combined with Leflunomide.]
[A07BA01, activated charcoal, Activated charcoal can cause a decrease in the absorption of Leflunomide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Leflunomide.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Leflunomide.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Leflunomide.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Leflunomide.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[S01AD03, acyclovir, The serum concentration of Acyclovir can be decreased when it is combined with Leflunomide.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Leflunomide.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Leflunomide.]
[N07BC04, lofexidine, The serum concentration of Lofexidine can be decreased when it is combined with Leflunomide.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be decreased when it is combined with Leflunomide.]
[C08CA11, manidipine, The metabolism of Leflunomide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Meprednisone is combined with Leflunomide.]
[R06AE03, cyclizine, The metabolism of Leflunomide can be decreased when combined with Cyclizine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Leflunomide.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Leflunomide.]
[S01XA18, cyclosporine, Leflunomide may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Leflunomide can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The serum concentration of Rosuvastatin can be increased when it is combined with Leflunomide.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Leflunomide.]
[J05AF10, entecavir, The serum concentration of Entecavir can be decreased when it is combined with Leflunomide.]
[M01AH05, etoricoxib, The serum concentration of Etoricoxib can be decreased when it is combined with Leflunomide.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Leflunomide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Leflunomide.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Leflunomide.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Leflunomide.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Leflunomide.]
[M01AX01, nabumetone, The serum concentration of Nabumetone can be decreased when it is combined with Leflunomide.]
[L02BB02, nilutamide, The metabolism of Leflunomide can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be decreased when it is combined with Leflunomide.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Leflunomide.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Leflunomide.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Leflunomide.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Leflunomide.]
[A08AA04, dexfenfluramine, The serum concentration of Dexfenfluramine can be decreased when it is combined with Leflunomide.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Leflunomide.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Leflunomide.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Leflunomide.]
[B01AC04, clopidogrel, The serum concentration of Clopidogrel can be decreased when it is combined with Leflunomide.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be decreased when it is combined with Leflunomide.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Leflunomide.]
[S01BC03, diclofenac, The serum concentration of Diclofenac can be decreased when it is combined with Leflunomide.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Leflunomide.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Leflunomide.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pirarubicin is combined with Leflunomide.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Difluocortolone is combined with Leflunomide.]
[C02DB01, dihydralazine, The serum concentration of Dihydralazine can be decreased when it is combined with Leflunomide.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Leflunomide.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Leflunomide.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Leflunomide.]
[J05AE08, atazanavir, The metabolism of Leflunomide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Leflunomide.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Leflunomide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be decreased when it is combined with Leflunomide.]
[C05CA03, diosmin, The metabolism of Leflunomide can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be decreased when it is combined with Leflunomide.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Leflunomide.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Leflunomide.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Leflunomide.]
[C01BA03, disopyramide, The serum concentration of Disopyramide can be decreased when it is combined with Leflunomide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Leflunomide is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Leflunomide can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The serum concentration of Riluzole can be decreased when it is combined with Leflunomide.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Leflunomide.]
[N01BB09, ropivacaine, The serum concentration of Ropivacaine can be decreased when it is combined with Leflunomide.]
[J01MB01, rosoxacin, The metabolism of Leflunomide can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Leflunomide.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Leflunomide.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Leflunomide.]
[R03AC12, salmeterol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Leflunomide.]
[A03FA03, domperidone, The serum concentration of Domperidone can be decreased when it is combined with Leflunomide.]
[N06AA16, dothiepin, The metabolism of Leflunomide can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The serum concentration of Doxepin can be decreased when it is combined with Leflunomide.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Leflunomide.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Leflunomide.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Leflunomide.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Leflunomide.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be decreased when it is combined with Leflunomide.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Leflunomide.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Leflunomide.]
[D01BA02, terbinafine, The serum concentration of Terbinafine can be decreased when it is combined with Leflunomide.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Leflunomide.]
[C03CA04, torsemide, The metabolism of Leflunomide can be decreased when combined with Torasemide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Leflunomide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Trofosfamide is combined with Leflunomide.]
[J01MA04, enoxacin, The metabolism of Leflunomide can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Leflunomide.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA01, epinephrine, The metabolism of Leflunomide can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Leflunomide.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be decreased when it is combined with Leflunomide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Leflunomide.]
[N05AX11, zotepine, The serum concentration of Zotepine can be decreased when it is combined with Leflunomide.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Leflunomide.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Iloprost is combined with Leflunomide.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[H05BX01, cinacalcet, The serum concentration of Cinacalcet can be decreased when it is combined with Leflunomide.]
[G03CA03, estradiol, The serum concentration of Estradiol can be decreased when it is combined with Leflunomide.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Leflunomide.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Leflunomide.]
[J04AK02, ethambutol, The metabolism of Leflunomide can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Leflunomide.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Fluticasone is combined with Leflunomide.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Fluvastatin is combined with Leflunomide.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Leflunomide.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Leflunomide.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Leflunomide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Leflunomide.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Leflunomide.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Leflunomide.]
[N06AB08, fluvoxamine, The serum concentration of Fluvoxamine can be decreased when it is combined with Leflunomide.]
[C01BB03, tocainide, The serum concentration of Tocainide can be decreased when it is combined with Leflunomide.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Leflunomide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Leflunomide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Leflunomide.]
[A02BA03, famotidine, The metabolism of Leflunomide can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The serum concentration of Albendazole can be decreased when it is combined with Leflunomide.]
[C08CA02, felodipine, The metabolism of Leflunomide can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be decreased when it is combined with Leflunomide.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Leflunomide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Leflunomide.]
[C01BC04, flecainide, The serum concentration of Flecainide can be decreased when it is combined with Leflunomide.]
[J02AC01, fluconazole, The metabolism of Leflunomide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Leflunomide.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Leflunomide.]
[D07XB01, flumethasone, The risk or severity of adverse effects can be increased when Flumethasone is combined with Leflunomide.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be decreased when it is combined with Leflunomide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Leflunomide.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Leflunomide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Leflunomide.]
[V03AZ01, ethanol, The serum concentration of Ethanol can be decreased when it is combined with Leflunomide.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Leflunomide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Leflunomide.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Leflunomide.]
[N06AB03, fluoxetine, The serum concentration of Fluoxetine can be decreased when it is combined with Leflunomide.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Leflunomide.]
[L02BB01, flutamide, The serum concentration of Flutamide can be decreased when it is combined with Leflunomide.]
[L01BC03, tegafur, The serum concentration of Tegafur can be decreased when it is combined with Leflunomide.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ganciclovir is combined with Leflunomide.]
[C10AB04, gemfibrozil, The metabolism of Leflunomide can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Leflunomide.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be decreased when it is combined with Leflunomide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Leflunomide.]
[A10BB01, glyburide, The metabolism of Leflunomide can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Leflunomide.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Leflunomide.]
[N05CM18, dexmedetomidine, The metabolism of Leflunomide can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Leflunomide.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Leflunomide.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Leflunomide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be decreased when it is combined with Leflunomide.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Leflunomide.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Leflunomide.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Leflunomide.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Leflunomide.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Leflunomide.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Leflunomide.]
[S02BA01, hydrocortisone, The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Leflunomide.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Leflunomide.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Leflunomide.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Leflunomide.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Leflunomide.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Leflunomide.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Leflunomide.]
[H01AC02, somatrem, The metabolism of Leflunomide can be increased when combined with Somatrem.]
[N06AA02, imipramine, The serum concentration of Imipramine can be decreased when it is combined with Leflunomide.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Leflunomide.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Leflunomide.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be decreased when it is combined with Leflunomide.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Leflunomide.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Leflunomide.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Leflunomide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Leflunomide.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Leflunomide.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be decreased when it is combined with Leflunomide.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Leflunomide.]
[L01XX35, anagrelide, The serum concentration of Anagrelide can be decreased when it is combined with Leflunomide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Leflunomide.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Leflunomide.]
[N06AF05, iproniazid, The metabolism of Leflunomide can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The serum concentration of Penciclovir can be decreased when it is combined with Leflunomide.]
[P01AX06, atovaquone, The metabolism of Leflunomide can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Leflunomide.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isotretinoin is combined with Leflunomide.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Leflunomide.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Leflunomide.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Leflunomide.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Leflunomide.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Leflunomide.]
[J02AB02, ketoconazole, The metabolism of Leflunomide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be decreased when it is combined with Leflunomide.]
[V03AC03, deferasirox, The serum concentration of Leflunomide can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Leflunomide.]
[J01MB02, nalidixic acid, The metabolism of Leflunomide can be decreased when combined with Nalidixic acid.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Leflunomide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Leflunomide.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be decreased when it is combined with Leflunomide.]
[N06BA13, armodafinil, The metabolism of Leflunomide can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Leflunomide.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Leflunomide.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Leflunomide.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Temsirolimus is combined with Leflunomide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Leflunomide.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Nilotinib is combined with Leflunomide.]
[N06AA21, maprotiline, The serum concentration of Maprotiline can be decreased when it is combined with Leflunomide.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Leflunomide.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Leflunomide.]
[N05CH01, melatonin, The serum concentration of Melatonin can be decreased when it is combined with Leflunomide.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Leflunomide.]
[N03AB04, mephenytoin, The serum concentration of Mephenytoin can be decreased when it is combined with Leflunomide.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Leflunomide.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Leflunomide.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Leflunomide.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Leflunomide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Leflunomide.]
[D05BA02, methoxsalen, The metabolism of Leflunomide can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Leflunomide.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methyldopa is combined with Leflunomide.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be decreased when it is combined with Leflunomide.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be decreased when it is combined with Leflunomide.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Leflunomide.]
[A03FA01, metoclopramide, The serum concentration of Metoclopramide can be decreased when it is combined with Leflunomide.]
