[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Antipyrine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Upadacitinib.]
[C03AA09, cyclothiazide, Linezolid may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin pork.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Linezolid.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Linezolid.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Linezolid is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Linezolid.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Linezolid is combined with Diroximel fumarate.]
[N03AX25, cenobamate, The therapeutic efficacy of Cenobamate can be decreased when used in combination with Linezolid.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dezocine.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Teprotumumab.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Linezolid is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Linezolid is combined with Dutasteride.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Linezolid is combined with Ozanimod.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Linezolid.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Linezolid.]
[C08CA16, clevidipine, Linezolid may increase the orthostatic hypotensive activities of Clevidipine.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Linezolid is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The therapeutic efficacy of Valpromide can be decreased when used in combination with Linezolid.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Linezolid.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Linezolid.]
[C02AA06, methoserpidine, Linezolid may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, Linezolid may increase the orthostatic hypotensive activities of Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Linezolid is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Linezolid is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Linezolid is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The therapeutic efficacy of Clomethiazole can be decreased when used in combination with Linezolid.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Linezolid is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Linezolid is combined with Stepronin.]
[C08CA17, levamlodipine, Linezolid may increase the hypotensive activities of Levamlodipine.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Oliceridine.]
[C03AA04, chlorothiazide, Linezolid may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Linezolid may increase the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Linezolid is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Linezolid may increase the hypotensive activities of Chlorthalidone.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Linezolid is combined with Ethenzamide.]
[N06BX18, vinpocetine, The therapeutic efficacy of Vinpocetine can be decreased when used in combination with Linezolid.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Linezolid is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Linezolid is combined with Etofenamate.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Fludarabine.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Linezolid is combined with Naxitamab.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Linezolid is combined with Voclosporin.]
[C01DX22, vericiguat, Linezolid may increase the orthostatic hypotensive activities of Vericiguat.]
[N03AX10, felbamate, The therapeutic efficacy of Felbamate can be decreased when used in combination with Linezolid.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Linezolid is combined with Fenbufen.]
[C01CA19, fenoldopam, Linezolid may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Linezolid is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Linezolid is combined with Finasteride.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Linezolid.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Linezolid.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Linezolid.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Linezolid.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Linezolid is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Linezolid is combined with Ponesimod.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Linezolid.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Linezolid.]
[H04AA02, dasiglucagon, Linezolid may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Linezolid.]
[N02BF01, gabapentin, The therapeutic efficacy of Gabapentin can be decreased when used in combination with Linezolid.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Linezolid.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Linezolid is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Linezolid is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Anifrolumab.]
[R06AA04, clemastine, Linezolid may increase the anticholinergic activities of Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Mefenamic acid.]
[A10BB12, glimepiride, Linezolid may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Linezolid may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Linezolid is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Linezolid is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Clomipramine.]
[N03AE01, clonazepam, The therapeutic efficacy of Clonazepam can be decreased when used in combination with Linezolid.]
[S01EA04, clonidine, Linezolid may increase the hypertensive activities of Clonidine.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Linezolid.]
[A10BX16, tirzepatide, Linezolid may increase the hypoglycemic activities of Tirzepatide.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Linezolid is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Deucravacitinib.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Linezolid is combined with Clothiapine.]
[A04AA01, ondansetron, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Linezolid is combined with Clozapine.]
[A10BX01, guar gum, Linezolid may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Linezolid may increase the hypoglycemic activities of Sotagliflozin.]
[S02DA02, cocaine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cocaine.]
[C02KB01, metyrosine, Linezolid may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Linezolid is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Codeine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Linezolid is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Linezolid.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Linezolid.]
[A10BX03, nateglinide, Linezolid may increase the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Linezolid is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Linezolid may increase the hypoglycemic activities of Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Nelarabine.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Linezolid is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Indobufen.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Linezolid.]
[A03AX10, isometheptene, Linezolid may increase the sympathomimetic activities of Isometheptene.]
[N02CC05, almotriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Linezolid is combined with Parecoxib.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Bemiparin.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Linezolid.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Linezolid is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Imatinib.]
[C08CA09, lacidipine, Linezolid may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Linezolid.]
[N07BC04, lofexidine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Linezolid is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Loxoprofen.]
[C09AA03, lisinopril, Linezolid may increase the hypotensive activities of Lisinopril.]
[C08CA11, manidipine, Linezolid may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Linezolid is combined with Mefenorex.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Linezolid is combined with Meprednisone.]
[R06AD07, mequitazine, Linezolid may increase the anticholinergic activities of Mequitazine.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Linezolid is combined with Methoxyphenamine.]
[C03DA04, eplerenone, Linezolid may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Linezolid is combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Linezolid.]
[C03AA07, cyclopenthiazide, Linezolid may increase the hypotensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, Linezolid may increase the hypoglycemic activities of Miglitol.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Linezolid.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Linezolid.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Linezolid.]
[S01XA18, cyclosporine, Linezolid may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Linezolid.]
[R06AX02, cyproheptadine, Linezolid may increase the anticholinergic activities of Cyproheptadine.]
[C09AA13, moexipril, Linezolid may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be decreased when combined with Linezolid.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Linezolid is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Linezolid is combined with Morniflumate.]
[C03XA02, conivaptan, Linezolid may increase the orthostatic hypotensive activities of Conivaptan.]
[C02AC05, moxonidine, Linezolid may increase the hypotensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Cytarabine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Linezolid is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Linezolid is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Linezolid is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Linezolid is combined with Daunorubicin.]
[C02CC04, debrisoquin, Linezolid may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Linezolid may increase the orthostatic hypotensive activities of Nabilone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Linezolid.]
[C07AB12, nebivolol, Linezolid may increase the hypotensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Nefazodone.]
[C01DX16, nicorandil, Linezolid may increase the hypotensive activities of Nicorandil.]
[N03AG06, tiagabine, The therapeutic efficacy of Tiagabine can be decreased when used in combination with Linezolid.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Linezolid is combined with Theodrenaline.]
[M03AC11, cisatracurium, Linezolid may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Linezolid is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Normethadone.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Linezolid.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Linezolid is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Linezolid is combined with Olsalazine.]
[N06AA01, desipramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Linezolid.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Linezolid.]
[C09XA02, aliskiren, Linezolid may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Linezolid.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Linezolid is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Linezolid.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Linezolid is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dexfenfluramine.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Linezolid.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Linezolid is combined with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dextromethorphan.]
[N03AC01, paramethadione, The therapeutic efficacy of Paramethadione can be decreased when used in combination with Linezolid.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Linezolid.]
[N05BA01, diazepam, The therapeutic efficacy of Diazepam can be decreased when used in combination with Linezolid.]
[N03AX07, phenacemide, The therapeutic efficacy of Phenacemide can be decreased when used in combination with Linezolid.]
[V03AH01, diazoxide, Linezolid may increase the hypotensive activities of Diazoxide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Phenol.]
[N03AD02, phensuximide, The therapeutic efficacy of Phensuximide can be decreased when used in combination with Linezolid.]
[N06AA08, dibenzepin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Cinchocaine.]
[R05DA08, pholcodine, Pholcodine may increase the serotonergic activities of Linezolid.]
[S01EC02, dichlorphenamide, Linezolid may increase the orthostatic hypotensive activities of Diclofenamide.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Linezolid.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Linezolid.]
[J05AF02, didanosine, The excretion of Didanosine can be decreased when combined with Linezolid.]
[C02DG01, pinacidil, Linezolid may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, Linezolid may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Pipamperone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Linezolid is combined with Ixabepilone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Linezolid is combined with Pirarubicin.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Linezolid is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Linezolid is combined with Diethylpropion.]
[C08CA03, isradipine, Linezolid may increase the hypotensive activities of Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Linezolid is combined with Diflunisal.]
[C02DB01, dihydralazine, Linezolid may increase the hypotensive activities of Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Linezolid.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Linezolid is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, Linezolid may increase the serotonergic activities of Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Linezolid.]
[B01AC21, treprostinil, Linezolid may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Pramocaine.]
[C08DB01, diltiazem, Linezolid may increase the hypotensive activities of Diltiazem.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Linezolid is combined with Procaterol.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Linezolid.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Linezolid is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Linezolid is combined with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Linezolid.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Diphenoxylate.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Linezolid.]
[B01AC07, dipyridamole, Linezolid may increase the orthostatic hypotensive activities of Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cisapride.]
[C09AA05, ramipril, Linezolid may increase the hypotensive activities of Ramipril.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Linezolid is combined with Sirolimus.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Linezolid is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Linezolid is combined with Reproterol.]
[C01BA03, disopyramide, Linezolid may increase the hypoglycemic activities of Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Natalizumab.]
[N07XX02, riluzole, The therapeutic efficacy of Riluzole can be decreased when used in combination with Linezolid.]
[N05AX08, risperidone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Linezolid.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Linezolid.]
[G04BE08, tadalafil, Linezolid may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Linezolid.]
[C02KX02, ambrisentan, Linezolid may increase the hypotensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Linezolid is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Linezolid is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Linezolid is combined with Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Linezolid is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Linezolid is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dosulepin.]
[R07AB01, doxapram, Linezolid may increase the hypertensive activities of Doxapram.]
[N06AA12, doxepin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Doxepin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Linezolid is combined with Doxorubicin.]
[R06AA09, doxylamine, Linezolid may increase the anticholinergic activities of Doxylamine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Linezolid.]
[N05AD08, droperidol, The risk or severity of adverse effects can be increased when Linezolid is combined with Droperidol.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sibutramine.]
[C09AA11, spirapril, Linezolid may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Linezolid is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sumatriptan.]
[C07AB13, talinolol, Linezolid may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Linezolid is combined with Corticotropin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Linezolid.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Linezolid is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Linezolid.]
[G04CA03, terazosin, Linezolid may increase the hypotensive activities of Terazosin.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Linezolid is combined with Tetryzoline.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Linezolid is combined with Thiopropazate.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Linezolid.]
[C09AA02, enalapril, Linezolid may increase the hypotensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Toloxatone is combined with Linezolid.]
[N06BA09, atomoxetine, The risk or severity of adverse effects can be increased when Linezolid is combined with Atomoxetine.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Linezolid.]
[C03CA04, torsemide, Linezolid may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Linezolid is combined with Tramazoline.]
[C09AA10, trandolapril, Linezolid may increase the hypotensive activities of Trandolapril.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Linezolid is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Linezolid is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Linezolid is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Linezolid.]
[C02CA06, urapidil, Linezolid may increase the hypotensive activities of Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Linezolid is combined with Veralipride.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Linezolid.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Linezolid is combined with Ephedrine.]
[N06AX16, venlafaxine, Linezolid may increase the serotonergic activities of Venlafaxine.]
