[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Antipyrine is combined with Tolvaptan.]
[H01CC03, elagolix, The serum concentration of Tolvaptan can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Tolvaptan can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Tolvaptan may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, The metabolism of Tolvaptan can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Tolvaptan can be increased when it is combined with Lusutrombopag.]
[J05AX24, tecovirimat, The metabolism of Tolvaptan can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Tolvaptan can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Tolvaptan can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Tolvaptan can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Tolvaptan can be increased when it is combined with Omadacycline.]
[S01GX12, cetirizine, Tolvaptan may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[D08AE05, chloroxylenol, Tolvaptan may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Lornoxicam.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Tolvaptan.]
[R03BB08, revefenacin, The serum concentration of Tolvaptan can be increased when it is combined with Revefenacin.]
[L01ED05, lorlatinib, The serum concentration of Tolvaptan can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Tolvaptan can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Tolvaptan may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX12, larotrectinib, The serum concentration of Tolvaptan can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Tolvaptan can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Tolvaptan can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Prucalopride.]
[C09AA08, cilazapril, Tolvaptan may increase the hyperkalemic activities of Cilazapril.]
[B01AC23, cilostazol, Tolvaptan may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02BX04, triclabendazole, The metabolism of Tolvaptan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Tolvaptan can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Tolvaptan can be decreased when combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Tolvaptan can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Tolvaptan may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EN01, erdafitinib, The serum concentration of Tolvaptan can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Tolvaptan can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Tolvaptan can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Castor oil.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Tolvaptan can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Tolvaptan can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Tolvaptan can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Tolvaptan may increase the excretion rate of Cefaclor which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB05, cefadroxil, Tolvaptan may increase the excretion rate of Cefadroxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB06, darolutamide, The serum concentration of Tolvaptan can be increased when it is combined with Darolutamide.]
[J01DC05, cefotetan, Tolvaptan may increase the excretion rate of Cefotetan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD02, ceftazidime, Tolvaptan may increase the excretion rate of Ceftazidime which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD04, ceftriaxone, Tolvaptan may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ02, fedratinib, The serum concentration of Tolvaptan can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Tolvaptan can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Tolvaptan can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Tolvaptan can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Tolvaptan can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The serum concentration of Tolvaptan can be increased when it is combined with Istradefylline.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Tolvaptan.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Dantron.]
[J01XX09, daptomycin, Tolvaptan may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, The metabolism of Tolvaptan can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Tolvaptan can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Tolvaptan can be increased when combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Tolvaptan can be increased when it is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Tolvaptan can be increased when it is combined with Lasmiditan.]
[B06AX03, voxelotor, The serum concentration of Tolvaptan can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Tolvaptan can be decreased when it is combined with Cenobamate.]
[M09AX08, golodirsen, Tolvaptan may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CD04, ubrogepant, The serum concentration of Tolvaptan can be increased when it is combined with Ubrogepant.]
[L01FX13, enfortumab vedotin, The serum concentration of Tolvaptan can be increased when it is combined with Enfortumab vedotin.]
[S01XA12, dexpanthenol, Tolvaptan may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Tolvaptan can be increased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tolvaptan can be decreased when combined with Tazemetostat.]
[N02CD06, rimegepant, The serum concentration of Tolvaptan can be increased when it is combined with Rimegepant.]
[J05AB16, remdesivir, The metabolism of Tolvaptan can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Tolvaptan can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Tolvaptan can be decreased when combined with Amprenavir.]
[L01EE04, selumetinib, The serum concentration of Tolvaptan can be increased when it is combined with Selumetinib.]
[R02AA03, dichlorobenzyl alcohol, Tolvaptan may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Tolvaptan may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Dihydrocodeine.]
[M01AH02, rofecoxib, The metabolism of Tolvaptan can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Tolvaptan can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Tolvaptan can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Tolvaptan can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Tolvaptan can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Tolvaptan can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Tolvaptan which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Tolvaptan can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Tolvaptan can be increased when combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Droxicam.]
[L01EX19, ripretinib, The serum concentration of Tolvaptan can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Tolvaptan may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA27, dexketoprofen, Tolvaptan may increase the excretion rate of Dexketoprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX22, ebastine, The metabolism of Tolvaptan can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The serum concentration of Tolvaptan can be increased when it is combined with Fostemsavir.]
[L01FX15, belantamab mafodotin, The serum concentration of Tolvaptan can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Tolvaptan can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Tolvaptan may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX23, pralsetinib, The serum concentration of Tolvaptan can be increased when it is combined with Pralsetinib.]
[N05AA01, chlorpromazine, The metabolism of Tolvaptan can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Tolvaptan may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Tolvaptan may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Ethenzamide.]
[N02BA03, choline salicylate, Tolvaptan may increase the excretion rate of Choline salicylate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Vinpocetine.]
[M01AB08, etodolac, Tolvaptan may increase the excretion rate of Etodolac which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Tolvaptan can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Tolvaptan can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Tolvaptan can be increased when it is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Tolvaptan may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD03, voclosporin, The serum concentration of Tolvaptan can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Tolvaptan can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tolvaptan can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Tolvaptan can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Tolvaptan can be increased when it is combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Tolvaptan can be increased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Fenbufen.]
[C01CA19, fenoldopam, Tolvaptan may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD15, cefdinir, Tolvaptan may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA03, flunisolide, The metabolism of Tolvaptan can be increased when combined with Flunisolide.]
[N02BG07, flupirtine, Tolvaptan may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Tolvaptan.]
[L01EK03, tivozanib, The serum concentration of Tolvaptan can be increased when it is combined with Tivozanib.]
[L01FX22, loncastuximab tesirine, The serum concentration of Tolvaptan can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Tolvaptan can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Tolvaptan may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Cinnarizine is combined with Tolvaptan.]
[L01XX73, sotorasib, The serum concentration of Tolvaptan can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Tolvaptan can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Tolvaptan can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Tolvaptan may increase the excretion rate of Cisplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB04, citalopram, The metabolism of Tolvaptan can be decreased when combined with Citalopram.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Finerenone.]
[L04AA48, belumosudil, The serum concentration of Tolvaptan can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Tolvaptan can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Tolvaptan can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Tolvaptan can be decreased when it is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Tolvaptan may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Tolvaptan may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Tolvaptan can be increased when it is combined with Technetium Tc-99m sestamibi.]
[V09AX06, florbetaben f-18, Tolvaptan may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA59, avacopan, The metabolism of Tolvaptan can be decreased when combined with Avacopan.]
[N06AX25, St. John's wort extract, The serum concentration of Tolvaptan can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Tolvaptan can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Tolvaptan can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Tolvaptan can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Tolvaptan can be increased when it is combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Tolvaptan can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Tolvaptan can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Tolvaptan may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ03, pacritinib, The serum concentration of Tolvaptan can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Tolvaptan can be increased when it is combined with Clomifene.]
[N06AA04, clomipramine, Tolvaptan may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Tolvaptan may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01EB24, mavacamten, The serum concentration of Tolvaptan can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Tolvaptan may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX31, lenacapavir, The metabolism of Tolvaptan can be decreased when combined with Lenacapavir.]
[L01XX77, adagrasib, The serum concentration of Tolvaptan can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Tolvaptan can be increased when combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Tolvaptan can be increased when it is combined with Futibatinib.]
[A10BK06, sotagliflozin, The serum concentration of Tolvaptan can be increased when it is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Tolvaptan can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Tolvaptan can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Tolvaptan may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA03, tropisetron, Tolvaptan may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX03, nateglinide, Tolvaptan may increase the excretion rate of Nateglinide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Imidazole salicylate.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Tolvaptan.]
[J01FA15, telithromycin, The metabolism of Tolvaptan can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Indobufen.]
[J05AB14, valganciclovir, Tolvaptan may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Tolvaptan may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Tolvaptan may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Tolvaptan may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Tolvaptan may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Tolvaptan may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The risk or severity of hyperkalemia can be increased when Valdecoxib is combined with Tolvaptan.]
[N02CC05, almotriptan, Tolvaptan may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Tolvaptan can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Bemiparin.]
[S01AD03, acyclovir, Tolvaptan may increase the excretion rate of Acyclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA10, ketazolam, The metabolism of Tolvaptan can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Tolvaptan can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Tolvaptan can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Lactitol.]
[N03AX09, lamotrigine, Tolvaptan may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, The metabolism of Tolvaptan can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Tolvaptan may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Loxoprofen.]
[C09AA03, lisinopril, Tolvaptan may increase the hyperkalemic activities of Lisinopril.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium carbonate.]
[C08CA11, manidipine, The metabolism of Tolvaptan can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Tolvaptan can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Tolvaptan can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Tolvaptan may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Cyclandelate is combined with Tolvaptan.]
[C03DA04, eplerenone, The risk or severity of hyperkalemia can be increased when Eplerenone is combined with Tolvaptan.]
[N05AD03, metylperon, Tolvaptan may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Tolvaptan can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tolvaptan may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA01, cyclophosphamide, The metabolism of Tolvaptan can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, The serum concentration of Tolvaptan can be increased when it is combined with Cyclosporine.]
[N06BA07, modafinil, The metabolism of Tolvaptan can be increased when combined with Modafinil.]
[C09AA13, moexipril, Tolvaptan may increase the hyperkalemic activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Tolvaptan can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Tolvaptan can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Tolvaptan can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Tolvaptan can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Tolvaptan may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DA01, dactinomycin, The serum concentration of Tolvaptan can be increased when it is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Tolvaptan can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tolvaptan.]
[L01DB02, daunorubicin, The metabolism of Tolvaptan can be decreased when combined with Daunorubicin.]
[M01AX01, nabumetone, The risk or severity of hyperkalemia can be increased when Nabumetone is combined with Tolvaptan.]
[N07BB05, nalmefene, Tolvaptan may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Potassium lactate.]
[C07AB12, nebivolol, The risk or severity of hyperkalemia can be increased when Nebivolol is combined with Tolvaptan.]
[S01GX04, nedocromil, Tolvaptan may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, The metabolism of Tolvaptan can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Tolvaptan may increase the excretion rate of Nicorandil which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB02, nilutamide, Tolvaptan may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Tolvaptan.]
[R05DA06, normethadone, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Tolvaptan may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Tolvaptan.]
[N06AA01, desipramine, The metabolism of Tolvaptan can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The therapeutic efficacy of Desmopressin can be decreased when used in combination with Tolvaptan.]
[V04CH02, indigo carmine, Tolvaptan may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH03, ertapenem, Tolvaptan may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Aliskiren.]
[M01AE12, oxaprozin, Tolvaptan may increase the excretion rate of Oxaprozin which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF02, oxcarbazepine, The metabolism of Tolvaptan can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Tolvaptan can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Tolvaptan can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Tolvaptan can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Tolvaptan may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AC01, dextromoramide, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Dextromoramide.]
[N07BC06, heroin, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Tolvaptan may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Tolvaptan may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA08, pholcodine, Tolvaptan may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hyperkalemia can be increased when Diclofenac is combined with Tolvaptan.]
[J01CF01, dicloxacillin, The metabolism of Tolvaptan can be increased when combined with Dicloxacillin.]
[A03AA07, dicyclomine, Tolvaptan may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF02, didanosine, Tolvaptan may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Pinaverium.]
[L01DC04, ixabepilone, The serum concentration of Tolvaptan can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Tolvaptan can be decreased when combined with Erlotinib.]
[L02AA01, diethylstilbestrol, The metabolism of Tolvaptan can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Tolvaptan can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Tolvaptan can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, Tolvaptan may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA04, digitoxin, The serum concentration of Tolvaptan can be increased when it is combined with Digitoxin.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Tolvaptan.]
[C04AE04, dihydroergocristine, The metabolism of Tolvaptan can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Tolvaptan can be decreased when combined with Dihydroergotamine.]
[N02AA03, hydromorphone, Tolvaptan may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Tolvaptan may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The metabolism of Tolvaptan can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Tolvaptan may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Tolvaptan may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, The metabolism of Tolvaptan can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Tolvaptan may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AX03, dimethyl sulfoxide, The metabolism of Tolvaptan can be decreased when combined with Dimethyl sulfoxide.]
