[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[L01FF04, avelumab, The risk or severity of methemoglobinemia can be increased when Avelumab is combined with Lidocaine.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Lidocaine.]
[N02BF02, pregabalin, The therapeutic efficacy of Lidocaine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of methemoglobinemia can be increased when Beclamide is combined with Lidocaine.]
[N06BC01, caffeine, The metabolism of Lidocaine can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Lidocaine.]
[J05AE09, tipranavir, The metabolism of Lidocaine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Lidocaine.]
[L01XK02, niraparib, The risk or severity of methemoglobinemia can be increased when Niraparib is combined with Lidocaine.]
[L04AB02, infliximab, The metabolism of Lidocaine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Lidocaine can be decreased when combined with Midostaurin.]
[L01FF03, durvalumab, The risk or severity of methemoglobinemia can be increased when Durvalumab is combined with Lidocaine.]
[L01ED04, brigatinib, The risk or severity of methemoglobinemia can be increased when Brigatinib is combined with Lidocaine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Safinamide.]
[P01AX10, fumagillin, The risk or severity of methemoglobinemia can be increased when Fumagillin is combined with Lidocaine.]
[J01MA23, delafloxacin, The risk or severity of methemoglobinemia can be increased when Delafloxacin is combined with Lidocaine.]
[P03AC02, bioallethrin, Lidocaine may increase the arrhythmogenic activities of Bioallethrin.]
[L01BC06, capecitabine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Lidocaine.]
[L01XX59, enasidenib, The risk or severity of methemoglobinemia can be increased when Enasidenib is combined with Lidocaine.]
[L01EH02, neratinib, The risk or severity of methemoglobinemia can be increased when Neratinib is combined with Lidocaine.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Inotuzumab ozogamicin is combined with Lidocaine.]
[L01XH01, vorinostat, The risk or severity of methemoglobinemia can be increased when Vorinostat is combined with Lidocaine.]
[L01EM02, copanlisib, The risk or severity of methemoglobinemia can be increased when Copanlisib is combined with Lidocaine.]
[L01EF03, abemaciclib, The risk or severity of methemoglobinemia can be increased when Abemaciclib is combined with Lidocaine.]
[C07AB07, bisoprolol, The serum concentration of Lidocaine can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Lidocaine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, The risk or severity of methemoglobinemia can be increased when Cefprozil is combined with Lidocaine.]
[C07AA17, bopindolol, The serum concentration of Lidocaine can be increased when it is combined with Bopindolol.]
[N04AA11, bornaprine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[L01BA03, raltitrexed, The risk or severity of methemoglobinemia can be increased when Raltitrexed is combined with Lidocaine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Lidocaine can be increased when combined with Budesonide.]
[L01XL04, tisagenlecleucel, The risk or severity of methemoglobinemia can be increased when Tisagenlecleucel is combined with Lidocaine.]
[L01EL02, acalabrutinib, The metabolism of Lidocaine can be decreased when combined with Acalabrutinib.]
[L01XL03, axicabtagene ciloleucel, The risk or severity of methemoglobinemia can be increased when Axicabtagene ciloleucel is combined with Lidocaine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Lidocaine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Lidocaine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Lidocaine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Lidocaine may increase the arrhythmogenic activities of Acetyldigoxin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Lidocaine is combined with Vinylbital.]
[C01CX09, angiotensin II, The risk or severity of hypertension can be increased when Angiotensin II is combined with Lidocaine.]
[L02BB05, apalutamide, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Lidocaine.]
[N03AF01, carbamazepine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Lidocaine.]
[A03AA03, camylofine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[J01CA03, carbenicillin, The risk or severity of methemoglobinemia can be increased when Carbenicillin is combined with Lidocaine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The metabolism of Lidocaine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The serum concentration of Lidocaine can be increased when it is combined with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Lidocaine.]
[J01DE01, cefepime, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Lidocaine.]
[J01DD10, cefetamet, The risk or severity of methemoglobinemia can be increased when Cefetamet is combined with Lidocaine.]
[J01DD09, cefodizime, The risk or severity of methemoglobinemia can be increased when Cefodizime is combined with Lidocaine.]
[J01DC11, ceforanide, The risk or severity of methemoglobinemia can be increased when Ceforanide is combined with Lidocaine.]
[J01DD13, cefpodoxime, The risk or severity of methemoglobinemia can be increased when Cefpodoxime is combined with Lidocaine.]
[L01EC03, encorafenib, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Lidocaine.]
[L01EE03, binimetinib, The risk or severity of methemoglobinemia can be increased when Binimetinib is combined with Lidocaine.]
[J01DD14, ceftibuten, The risk or severity of methemoglobinemia can be increased when Ceftibuten is combined with Lidocaine.]
[J01GB14, plazomicin, The risk or severity of methemoglobinemia can be increased when Plazomicin is combined with Lidocaine.]
[C07AB08, celiprolol, The serum concentration of Lidocaine can be increased when it is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Lidocaine.]
[L01XX62, ivosidenib, The metabolism of Lidocaine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The risk or severity of methemoglobinemia can be increased when Tafenoquine is combined with Lidocaine.]
[L01FX09, mogamulizumab, The risk or severity of methemoglobinemia can be increased when Mogamulizumab is combined with Lidocaine.]
[N03AX17, stiripentol, The metabolism of Lidocaine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Lidocaine.]
[J01AA13, eravacycline, The risk or severity of methemoglobinemia can be increased when Eravacycline is combined with Lidocaine.]
[L01EM04, duvelisib, The risk or severity of methemoglobinemia can be increased when Duvelisib is combined with Lidocaine.]
[L01FF06, cemiplimab, The risk or severity of methemoglobinemia can be increased when Cemiplimab is combined with Lidocaine.]
[L01EB07, dacomitinib, The risk or severity of methemoglobinemia can be increased when Dacomitinib is combined with Lidocaine.]
[J01AA14, sarecycline, The risk or severity of methemoglobinemia can be increased when Sarecycline is combined with Lidocaine.]
[J01AA15, omadacycline, The risk or severity of methemoglobinemia can be increased when Omadacycline is combined with Lidocaine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cetirizine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Lidocaine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Lidocaine.]
[L01FB02, moxetumomab pasudotox, The risk or severity of methemoglobinemia can be increased when Moxetumomab pasudotox is combined with Lidocaine.]
[L01XK04, talazoparib, The risk or severity of methemoglobinemia can be increased when Talazoparib is combined with Lidocaine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Lidocaine.]
[R03BB08, revefenacin, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The risk or severity of methemoglobinemia can be increased when Lorlatinib is combined with Lidocaine.]
[L04AA39, emapalumab, The metabolism of Lidocaine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of methemoglobinemia can be increased when Carmustine is combined with Lidocaine.]
[L01EX12, larotrectinib, The risk or severity of methemoglobinemia can be increased when Larotrectinib is combined with Lidocaine.]
[L01EX13, gilteritinib, The risk or severity of methemoglobinemia can be increased when Gilteritinib is combined with Lidocaine.]
[L01XJ03, glasdegib, The risk or severity of methemoglobinemia can be increased when Glasdegib is combined with Lidocaine.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Lidocaine is combined with Amifampridine.]
[L01XX67, tagraxofusp, The risk or severity of methemoglobinemia can be increased when Tagraxofusp is combined with Lidocaine.]
[C01BG07, cifenline, Lidocaine may increase the arrhythmogenic activities of Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Lidocaine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cinitapride.]
[S01ED05, carteolol, Lidocaine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Lidocaine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Lidocaine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of methemoglobinemia can be increased when Brexanolone is combined with Lidocaine.]
[L01EN01, erdafitinib, The risk or severity of methemoglobinemia can be increased when Erdafitinib is combined with Lidocaine.]
[N05BA09, clobazam, The metabolism of Lidocaine can be decreased when combined with Clobazam.]
[J01AA11, clomocycline, The risk or severity of methemoglobinemia can be increased when Clomocycline is combined with Lidocaine.]
[H02AB14, cloprednol, The metabolism of Lidocaine can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cloxazolam.]
[L01XX29, denileukin diftitox, The risk or severity of methemoglobinemia can be increased when Denileukin diftitox is combined with Lidocaine.]
[L04AB01, etanercept, The metabolism of Lidocaine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Lidocaine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The risk or severity of methemoglobinemia can be increased when Alpelisib is combined with Lidocaine.]
[L01FX14, polatuzumab vedotin, The risk or severity of methemoglobinemia can be increased when Polatuzumab vedotin is combined with Lidocaine.]
[J01DC04, cefaclor, The risk or severity of methemoglobinemia can be increased when Cefaclor is combined with Lidocaine.]
[J01DB05, cefadroxil, The risk or severity of methemoglobinemia can be increased when Cefadroxil is combined with Lidocaine.]
[J01DC03, cefamandole, The risk or severity of methemoglobinemia can be increased when Cefamandole is combined with Lidocaine.]
[L01XX66, selinexor, The risk or severity of methemoglobinemia can be increased when Selinexor is combined with Lidocaine.]
[J01DB07, cefatrizine, The risk or severity of methemoglobinemia can be increased when Cefatrizine is combined with Lidocaine.]
[L02BB06, darolutamide, The risk or severity of methemoglobinemia can be increased when Darolutamide is combined with Lidocaine.]
[J01CF03, methicillin, The risk or severity of methemoglobinemia can be increased when Meticillin is combined with Lidocaine.]
[J01DC09, cefmetazole, The risk or severity of methemoglobinemia can be increased when Cefmetazole is combined with Lidocaine.]
[J01DC06, cefonicid, The risk or severity of methemoglobinemia can be increased when Cefonicid is combined with Lidocaine.]
[L01EX15, pexidartinib, The risk or severity of methemoglobinemia can be increased when Pexidartinib is combined with Lidocaine.]
[J01DD12, cefoperazone, The risk or severity of methemoglobinemia can be increased when Cefoperazone is combined with Lidocaine.]
[J01DC05, cefotetan, The risk or severity of methemoglobinemia can be increased when Cefotetan is combined with Lidocaine.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cyamemazine.]
[J01DC07, cefotiam, The risk or severity of methemoglobinemia can be increased when Cefotiam is combined with Lidocaine.]
[J01DC01, cefoxitin, The risk or severity of methemoglobinemia can be increased when Cefoxitin is combined with Lidocaine.]
[J01DD03, cefsulodin, The risk or severity of methemoglobinemia can be increased when Cefsulodin is combined with Lidocaine.]
[J01DD02, ceftazidime, The risk or severity of methemoglobinemia can be increased when Ceftazidime is combined with Lidocaine.]
[C03BX03, cicletanine, Lidocaine may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, The risk or severity of methemoglobinemia can be increased when Ceftizoxime is combined with Lidocaine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lidocaine.]
[L01EJ02, fedratinib, The risk or severity of methemoglobinemia can be increased when Fedratinib is combined with Lidocaine.]
[L01EX14, entrectinib, The risk or severity of methemoglobinemia can be increased when Entrectinib is combined with Lidocaine.]
[N07XX11, pitolisant, The serum concentration of Lidocaine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, The risk or severity of methemoglobinemia can be increased when Lefamulin is combined with Lidocaine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Lidocaine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Lidocaine can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The risk or severity of methemoglobinemia can be increased when Daptomycin is combined with Lidocaine.]
[J01DB01, cephalexin, The risk or severity of methemoglobinemia can be increased when Cephalexin is combined with Lidocaine.]
[J01DB02, cephaloridine, The risk or severity of methemoglobinemia can be increased when Cefaloridine is combined with Lidocaine.]
[J01DB03, cephalothin, The risk or severity of methemoglobinemia can be increased when Cefalotin is combined with Lidocaine.]
[J01DB08, cephapirin, The risk or severity of methemoglobinemia can be increased when Cefapirin is combined with Lidocaine.]
[J01DB09, cephradine, The risk or severity of methemoglobinemia can be increased when Cefradine is combined with Lidocaine.]
[L01FD01, trastuzumab, The risk or severity of methemoglobinemia can be increased when Trastuzumab is combined with Lidocaine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of methemoglobinemia can be increased when Trastuzumab emtansine is combined with Lidocaine.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of methemoglobinemia can be increased when Trastuzumab deruxtecan is combined with Lidocaine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Lidocaine.]
[L01EL03, zanubrutinib, The risk or severity of methemoglobinemia can be increased when Zanubrutinib is combined with Lidocaine.]
[N03AX25, cenobamate, The serum concentration of Lidocaine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Lidocaine can be increased when it is combined with Givosiran.]
[L01FX13, enfortumab vedotin, The risk or severity of methemoglobinemia can be increased when Enfortumab vedotin is combined with Lidocaine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Lidocaine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dezocine.]
[L01XX10, masoprocol, The risk or severity of methemoglobinemia can be increased when Masoprocol is combined with Lidocaine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Lidocaine can be decreased when combined with Diacerein.]
[L01FC02, isatuximab, The risk or severity of methemoglobinemia can be increased when Isatuximab is combined with Lidocaine.]
[S01AE06, gatifloxacin, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Lidocaine.]
[H02CA02, osilodrostat, The metabolism of Lidocaine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Lidocaine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Lidocaine.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Lidocaine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The risk or severity of methemoglobinemia can be increased when Selumetinib is combined with Lidocaine.]
[G03DB08, dienogest, The risk or severity of methemoglobinemia can be increased when Dienogest is combined with Lidocaine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Difenoxin.]
[L01XD01, porfimer sodium, The risk or severity of methemoglobinemia can be increased when Porfimer sodium is combined with Lidocaine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lidocaine.]
[M01AH02, rofecoxib, The metabolism of Lidocaine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of methemoglobinemia can be increased when Bexarotene is combined with Lidocaine.]
[C08CA16, clevidipine, Lidocaine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Lidocaine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of methemoglobinemia can be increased when Valpromide is combined with Lidocaine.]
[J01FA13, dirithromycin, The risk or severity of methemoglobinemia can be increased when Dirithromycin is combined with Lidocaine.]
[L01AA02, chlorambucil, The risk or severity of methemoglobinemia can be increased when Chlorambucil is combined with Lidocaine.]
[S03AA08, chloramphenicol, The risk or severity of methemoglobinemia can be increased when Chloramphenicol is combined with Lidocaine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chlordiazepoxide.]
[L01EN02, pemigatinib, The risk or severity of methemoglobinemia can be increased when Pemigatinib is combined with Lidocaine.]
[L01FX17, sacituzumab govitecan, The risk or severity of methemoglobinemia can be increased when Sacituzumab govitecan is combined with Lidocaine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Lidocaine.]
[A03AA08, dihexyverine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The risk or severity of methemoglobinemia can be increased when Capmatinib is combined with Lidocaine.]
[D07XB03, fluprednidene, The metabolism of Lidocaine can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The risk or severity of methemoglobinemia can be increased when Artemisinin is combined with Lidocaine.]
[G04BD09, trospium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX19, ripretinib, The risk or severity of methemoglobinemia can be increased when Ripretinib is combined with Lidocaine.]
[L01EX22, selpercatinib, The risk or severity of methemoglobinemia can be increased when Selpercatinib is combined with Lidocaine.]
[N05CM02, chlormethiazole, The risk or severity of methemoglobinemia can be increased when Clomethiazole is combined with Lidocaine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Dyclonine.]
[L01XX69, lurbinectedin, The risk or severity of methemoglobinemia can be increased when Lurbinectedin is combined with Lidocaine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Lidocaine.]
[P01BB01, proguanil, The risk or severity of methemoglobinemia can be increased when Proguanil is combined with Lidocaine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Lidocaine is combined with Remimazolam.]
[L01FX12, tafasitamab, The risk or severity of methemoglobinemia can be increased when Tafasitamab is combined with Lidocaine.]
[L01XL06, brexucabtagene autoleucel, The risk or severity of methemoglobinemia can be increased when Brexucabtagene autoleucel is combined with Lidocaine.]
[L01DB04, aclarubicin, The risk or severity of methemoglobinemia can be increased when Aclarubicin is combined with Lidocaine.]
[L04AC19, satralizumab, The serum concentration of Lidocaine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Lidocaine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Lidocaine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The risk or severity of methemoglobinemia can be increased when Pralsetinib is combined with Lidocaine.]
[G03CA06, chlorotrianisene, The risk or severity of methemoglobinemia can be increased when Chlorotrianisene is combined with Lidocaine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Lidocaine can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[S01AA02, chlortetracycline, The risk or severity of methemoglobinemia can be increased when Chlortetracycline is combined with Lidocaine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Lidocaine.]
[A11CC05, cholecalciferol, The metabolism of Lidocaine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Etifoxine.]
[N06BX18, vinpocetine, Lidocaine may increase the arrhythmogenic activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Lidocaine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lidocaine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Lidocaine may increase the arrhythmogenic activities of Hydroquinine.]
[L01BB05, fludarabine, The risk or severity of methemoglobinemia can be increased when Fludarabine is combined with Lidocaine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Lidocaine.]
[L01FD06, margetuximab, The risk or severity of methemoglobinemia can be increased when Margetuximab is combined with Lidocaine.]
[P03AX07, abametapir, The serum concentration of Lidocaine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The risk or severity of methemoglobinemia can be increased when Tepotinib is combined with Lidocaine.]
[L01EX25, umbralisib, The risk or severity of methemoglobinemia can be increased when Umbralisib is combined with Lidocaine.]
[V03AF12, trilaciclib, The metabolism of Lidocaine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of methemoglobinemia can be increased when Felbamate is combined with Lidocaine.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Lidocaine.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Lidocaine.]
[J01DD08, cefixime, The risk or severity of methemoglobinemia can be increased when Cefixime is combined with Lidocaine.]
[J01DD15, cefdinir, The risk or severity of methemoglobinemia can be increased when Cefdinir is combined with Lidocaine.]
[J01MB07, flumequine, The risk or severity of methemoglobinemia can be increased when Flumequine is combined with Lidocaine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Lidocaine.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Lidocaine.]
[S01LA08, bevacizumab, The risk or severity of methemoglobinemia can be increased when Bevacizumab is combined with Lidocaine.]
[L01EK03, tivozanib, The risk or severity of methemoglobinemia can be increased when Tivozanib is combined with Lidocaine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Lidocaine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Lidocaine can be increased when it is combined with Peginterferon alfa-2b.]
[L01XL07, idecabtagene vicleucel, The risk or severity of methemoglobinemia can be increased when Idecabtagene vicleucel is combined with Lidocaine.]
[L01FF07, dostarlimab, The risk or severity of methemoglobinemia can be increased when Dostarlimab is combined with Lidocaine.]
[L01FX22, loncastuximab tesirine, The risk or severity of methemoglobinemia can be increased when Loncastuximab tesirine is combined with Lidocaine.]
[A02BA01, cimetidine, The serum concentration of Lidocaine can be increased when it is combined with Cimetidine.]
[R02AB03, fusafungin, The risk or severity of methemoglobinemia can be increased when Fusafungine is combined with Lidocaine.]
[N02BF01, gabapentin, The risk or severity of methemoglobinemia can be increased when Gabapentin is combined with Lidocaine.]
[N07CA02, cinnarizine, Lidocaine may increase the arrhythmogenic activities of Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of methemoglobinemia can be increased when Cinoxacin is combined with Lidocaine.]
[L01XX73, sotorasib, The serum concentration of Lidocaine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The risk or severity of methemoglobinemia can be increased when Infigratinib is combined with Lidocaine.]
[S03AA07, ciprofloxacin, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Lidocaine.]
[L01XA01, cisplatin, The risk or severity of methemoglobinemia can be increased when Cisplatin is combined with Lidocaine.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Lidocaine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Lidocaine can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Lidocaine.]
[L01XX74, belzutifan, The risk or severity of methemoglobinemia can be increased when Belzutifan is combined with Lidocaine.]
[H01AC09, lonapegsomatropin, The metabolism of Lidocaine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Lidocaine.]
[L01FX23, tisotumab vedotin, The risk or severity of methemoglobinemia can be increased when Tisotumab vedotin is combined with Lidocaine.]
[V09IA09, technetium Tc 99m tilmanocept, Lidocaine may decrease effectiveness of Technetium Tc-99m tilmanocept as a diagnostic agent.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Clemastine.]
[J01FF01, clindamycin, The risk or severity of methemoglobinemia can be increased when Clindamycin is combined with Lidocaine.]
[N06AX25, St. John's wort extract, The metabolism of Lidocaine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The risk or severity of methemoglobinemia can be increased when Asciminib is combined with Lidocaine.]
[L02BG06, exemestane, The risk or severity of methemoglobinemia can be increased when Exemestane is combined with Lidocaine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Lidocaine.]
[L01XX75, tebentafusp, The risk or severity of methemoglobinemia can be increased when Tebentafusp is combined with Lidocaine.]
[J04BA01, clofazimine, The risk or severity of methemoglobinemia can be increased when Clofazimine is combined with Lidocaine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Lidocaine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Lidocaine.]
[N03AE01, clonazepam, The risk or severity of methemoglobinemia can be increased when Clonazepam is combined with Lidocaine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Lidocaine.]
[C01EB24, mavacamten, The serum concentration of Lidocaine can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Lidocaine.]
[L01FX20, tremelimumab, The risk or severity of methemoglobinemia can be increased when Tremelimumab is combined with Lidocaine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Lidocaine.]
