[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Prochlorperazine.]
[N03AX25, cenobamate, The serum concentration of Prochlorperazine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Prochlorperazine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Prochlorperazine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Prochlorperazine.]
[M01AX21, diacetylrhein, The metabolism of Prochlorperazine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prochlorperazine.]
[H02CA02, osilodrostat, The metabolism of Prochlorperazine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Prochlorperazine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Prochlorperazine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Prochlorperazine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Prochlorperazine.]
[C01BD07, dronedarone, The metabolism of Prochlorperazine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Prochlorperazine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Prochlorperazine.]
[A03AA08, dihexyverine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Prochlorperazine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Prochlorperazine.]
[P01BE01, artemisinin, The risk or severity of QTc prolongation can be increased when Artemisinin is combined with Prochlorperazine.]
[G04BD09, trospium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Prochlorperazine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Prochlorperazine.]
[P01BB01, proguanil, The risk or severity of QTc prolongation can be increased when Proguanil is combined with Prochlorperazine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Prochlorperazine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Prochlorperazine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Prochlorperazine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Prochlorperazine can be decreased when combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Prochlorperazine.]
[N05AA01, chlorpromazine, The metabolism of Prochlorperazine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Prochlorperazine.]
[N05AF03, chlorprothixene, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Prochlorperazine.]
[A11CC05, cholecalciferol, The metabolism of Prochlorperazine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Prochlorperazine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Prochlorperazine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Prochlorperazine.]
[L01FX21, naxitamab, Prochlorperazine may increase the neurotoxic activities of Naxitamab.]
[P03AX07, abametapir, The serum concentration of Prochlorperazine can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Felbamate.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Prochlorperazine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Prochlorperazine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Prochlorperazine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Prochlorperazine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Prochlorperazine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Prochlorperazine can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Prochlorperazine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Prochlorperazine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Prochlorperazine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Prochlorperazine.]
[J01FF01, clindamycin, Prochlorperazine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Prochlorperazine can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Prochlorperazine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Prochlorperazine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Prochlorperazine.]
[N06AA04, clomipramine, The serum concentration of desmethylclomipramine, an active metabolite of Clomipramine, can be increased when used in combination with Prochlorperazine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Prochlorperazine.]
[C01EB24, mavacamten, The serum concentration of Prochlorperazine can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Prochlorperazine can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Prochlorperazine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms and CNS depression can be increased when Metyrosine is combined with Prochlorperazine.]
[L04AC21, bimekizumab, The metabolism of Prochlorperazine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Prochlorperazine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Prochlorperazine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Prochlorperazine.]
[J01FA15, telithromycin, The metabolism of Prochlorperazine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Prochlorperazine.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Prochlorperazine.]
[J02AC02, itraconazole, The metabolism of Prochlorperazine can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Prochlorperazine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Prochlorperazine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Prochlorperazine.]
[N03AX09, lamotrigine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Prochlorperazine.]
[N07BC04, lofexidine, The therapeutic efficacy of Prochlorperazine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Lomefloxacin.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lormetazepam.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Prochlorperazine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Medifoxamine.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Prochlorperazine.]
[R06AD07, mequitazine, Prochlorperazine may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Prochlorperazine.]
[R03CB02, methoxyphenamine, Prochlorperazine may decrease the stimulatory activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Melperone.]
[L01AA01, cyclophosphamide, Prochlorperazine may increase the neurotoxic activities of Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of extrapyramidal symptoms can be increased when Minaprine is combined with Prochlorperazine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Prochlorperazine.]
[S01XA18, cyclosporine, The metabolism of Prochlorperazine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Prochlorperazine.]
[R06AX02, cyproheptadine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Prochlorperazine.]
[C03XA02, conivaptan, The metabolism of Prochlorperazine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Prochlorperazine.]
[M01AH05, etoricoxib, The metabolism of Prochlorperazine can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Prochlorperazine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of QTc prolongation can be increased when Dapsone is combined with Prochlorperazine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Prochlorperazine.]
[V03AC01, deferoxamine, The risk or severity of adverse effects can be increased when Deferoxamine is combined with Prochlorperazine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Nordazepam.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Prochlorperazine.]
[N06AX06, nefazodone, The metabolism of Prochlorperazine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cisatracurium.]
[R05DA06, normethadone, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Normethadone.]
[N06AB10, escitalopram, The serum concentration of Prochlorperazine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The metabolism of Prochlorperazine can be decreased when combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Prochlorperazine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Prochlorperazine.]
[G04BD04, oxybutynin, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Prochlorperazine can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Prochlorperazine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Prochlorperazine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Prochlorperazine may decrease the stimulatory activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Prochlorperazine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Prochlorperazine can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Phensuximide.]
[N06AA08, dibenzepin, The serum concentration of Dibenzepin can be increased when it is combined with Prochlorperazine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cinchocaine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Prochlorperazine.]
[A03AA07, dicyclomine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Prochlorperazine may increase the neurotoxic activities of Didanosine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Prochlorperazine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pipamperone.]
[A03AB14, pipenzolate, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Prochlorperazine.]
[A08AA03, diethylpropion, Prochlorperazine may decrease the stimulatory activities of Diethylpropion.]
[C08CA03, isradipine, The metabolism of Prochlorperazine can be decreased when combined with Isradipine.]
[A03AB11, poldine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Prochlorperazine.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Prochlorperazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Prochlorperazine.]
[N02AA03, hydromorphone, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Prochlorperazine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Prochlorperazine.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Prochlorperazine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pridinol.]
[R06AB03, dimethindene, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Prochlorperazine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Prochlorperazine.]
[R06AA02, diphenhydramine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The serum concentration of Quinupramine can be increased when it is combined with Prochlorperazine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Prochlorperazine.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Prochlorperazine.]
[S02AA12, rifamycin SV, The metabolism of Prochlorperazine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Prochlorperazine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Prochlorperazine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Prochlorperazine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Prochlorperazine.]
[A04AD12, aprepitant, The metabolism of Prochlorperazine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prochlorperazine.]
[C01EB18, ranolazine, The serum concentration of Prochlorperazine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Prochlorperazine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Prochlorperazine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Prochlorperazine.]
[L01DB01, doxorubicin, The metabolism of Prochlorperazine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Prochlorperazine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Prochlorperazine.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Prochlorperazine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Prochlorperazine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Terodiline.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Prochlorperazine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiopropazate.]
[G04BD01, emepronium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The serum concentration of Tianeptine can be increased when it is combined with Prochlorperazine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of extrapyramidal symptoms can be increased when Toloxatone is combined with Prochlorperazine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Prochlorperazine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Prochlorperazine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Toremifene.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Triclofos.]
[A03AB08, tridihexethyl, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Prochlorperazine.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Prochlorperazine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Prochlorperazine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Prochlorperazine.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Prochlorperazine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Prochlorperazine can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Prochlorperazine can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Prochlorperazine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Zotepine.]
