[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Phenylephrine.]
[N05BA16, nordazepam, The risk or severity of hypertension can be decreased when Nordazepam is combined with Phenylephrine.]
[C07AB12, nebivolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Phenylephrine.]
[C01DX16, nicorandil, Phenylephrine may decrease the antihypertensive activities of Nicorandil.]
[C01CA23, theodrenaline, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Norfenefrine.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may increase the vasopressor activities of Phenylephrine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Phenylephrine.]
[S01BA11, desonide, The risk or severity of hypertension can be increased when Desonide is combined with Phenylephrine.]
[D07XC02, desoximetasone, The risk or severity of hypertension can be increased when Desoximetasone is combined with Phenylephrine.]
[H02AA03, desoxycorticosterone, The risk or severity of hypertension can be increased when Desoxycortone is combined with Phenylephrine.]
[C09XA02, aliskiren, Phenylephrine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hypertension can be increased when Dexamethasone is combined with Phenylephrine.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be increased when combined with Phenylephrine.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Phenylephrine.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Phenylephrine.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Teriparatide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be increased when combined with Phenylephrine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Phenylephrine.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Pentifylline.]
[N05BA01, diazepam, The risk or severity of hypertension can be decreased when Diazepam is combined with Phenylephrine.]
[V03AH01, diazoxide, Phenylephrine may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may increase the vasopressor activities of Phenylephrine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Phenylephrine.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Dicyclomine.]
[C02DG01, pinacidil, Phenylephrine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypertension can be decreased when Pinaverium is combined with Phenylephrine.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Phenylephrine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Phenylephrine is combined with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of hypertension can be decreased when Isradipine is combined with Phenylephrine.]
[D07XC04, diflucortolone, The risk or severity of hypertension can be increased when Difluocortolone is combined with Phenylephrine.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Phenylephrine is combined with Diflunisal.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Phenylephrine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[B01AC21, treprostinil, Phenylephrine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Potassium perchlorate.]
[D07AC18, prednicarbate, The risk or severity of hypertension can be increased when Prednicarbate is combined with Phenylephrine.]
[C08DB01, diltiazem, The risk or severity of hypertension can be decreased when Diltiazem is combined with Phenylephrine.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Procaterol.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Propentofylline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Proxyphylline.]
[N05CD10, quazepam, The risk or severity of hypertension can be decreased when Quazepam is combined with Phenylephrine.]
[C09AA06, quinapril, Phenylephrine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypertension can be decreased when Dipyridamole is combined with Phenylephrine.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the vasopressor activities of Phenylephrine.]
[C09AA05, ramipril, Phenylephrine may decrease the antihypertensive activities of Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Reproterol.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Phenylephrine.]
[N07XX02, riluzole, The metabolism of Riluzole can be increased when combined with Phenylephrine.]
[N05AX08, risperidone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Risperidone.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be increased when combined with Phenylephrine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Phenylephrine.]
[G04BE08, tadalafil, The risk or severity of hypertension can be decreased when Tadalafil is combined with Phenylephrine.]
[C02KX02, ambrisentan, Phenylephrine may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Salmon calcitonin.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Phenylephrine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dopamine.]
[N06AA16, dothiepin, Dosulepin may increase the vasopressor activities of Phenylephrine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Phenylephrine is combined with Doxapram.]
[N06AA12, doxepin, Doxepin may increase the vasopressor activities of Phenylephrine.]
[N01AB08, sevoflurane, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sevoflurane.]
[N05AD08, droperidol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Phenylephrine.]
[C09AA11, spirapril, Phenylephrine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Dyphylline.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypertension can be increased when Corticotropin is combined with Phenylephrine.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Phenylephrine.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tenoxicam.]
[G04CA03, terazosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be increased when combined with Phenylephrine.]
[G04BD05, terodiline, The risk or severity of hypertension can be decreased when Terodiline is combined with Phenylephrine.]
[C07AA16, tertatolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tetryzoline.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the vasopressor activities of Phenylephrine.]
[C09AA02, enalapril, Phenylephrine may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypertensive activities of Phenylephrine.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Phenylephrine.]
[C03CA04, torsemide, Phenylephrine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tramazoline.]
[C09AA10, trandolapril, Phenylephrine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of hypertension can be decreased when Loprazolam is combined with Phenylephrine.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Tridihexethyl.]
[H02CA01, trilostane, The risk or severity of hypertension can be increased when Trilostane is combined with Phenylephrine.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Follitropin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Urapidil.]
[S01FB02, ephedrine, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Ephedrine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Phenylephrine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be decreased when Xylometazoline is combined with Phenylephrine.]
[C08CA12, mepirodipine, The risk or severity of hypertension can be decreased when Barnidipine is combined with Phenylephrine.]
[S01EA01, epinephrine, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Epinephrine.]
[C09AA15, zofenopril, Phenylephrine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Phenylephrine.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Phenylephrine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of hypertension can be decreased when Zonisamide is combined with Phenylephrine.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Phenylephrine.]
[C02AC02, guanfacine, Phenylephrine may decrease the antihypertensive activities of Guanfacine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[N05CD04, estazolam, The risk or severity of hypertension can be decreased when Estazolam is combined with Phenylephrine.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Phenylephrine.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Phenylephrine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Phenylephrine.]
[R03BA09, fluticasone furoate, The risk or severity of hypertension can be increased when Fluticasone furoate is combined with Phenylephrine.]
[R03BA05, fluticasone, The risk or severity of hypertension can be increased when Fluticasone is combined with Phenylephrine.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Gepefrine.]
[D07AC21, halobetasol, The risk or severity of hypertension can be increased when Ulobetasol is combined with Phenylephrine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Phenylephrine.]
[N04AA05, profenamine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of hypertension can be decreased when Ethosuximide is combined with Phenylephrine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Phenylephrine is combined with Meloxicam.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Phenylephrine.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Phenylephrine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be increased when combined with Phenylephrine.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Phenylephrine.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Phenylephrine.]
[C08CA02, felodipine, The risk or severity of hypertension can be decreased when Felodipine is combined with Phenylephrine.]
[C08EA01, fendiline, The risk or severity of hypertension can be decreased when Fendiline is combined with Phenylephrine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be increased when combined with Phenylephrine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Fenoterol.]
[N02AB03, fentanyl, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Phenylephrine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Salbutamol.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be increased when combined with Phenylephrine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Floctafenine.]
[H02AA02, fludrocortisone, The risk or severity of hypertension can be increased when Fludrocortisone is combined with Phenylephrine.]
[D07XB01, flumethasone, The risk or severity of hypertension can be increased when Flumethasone is combined with Phenylephrine.]
[N07CA03, flunarizine, The risk or severity of hypertension can be decreased when Flunarizine is combined with Phenylephrine.]
[N05CD03, flunitrazepam, The risk or severity of hypertension can be decreased when Flunitrazepam is combined with Phenylephrine.]
[D07AC08, fluocinonide, The risk or severity of hypertension can be increased when Fluocinonide is combined with Phenylephrine.]
[N06AA14, melitracen, Melitracen may increase the vasopressor activities of Phenylephrine.]
[H02AB03, fluocortolone, The risk or severity of hypertension can be increased when Fluocortolone is combined with Phenylephrine.]
[V03AZ01, ethanol, The metabolism of Ethanol can be increased when combined with Phenylephrine.]
[S01CB05, fluorometholone, The risk or severity of hypertension can be increased when Fluorometholone is combined with Phenylephrine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Phenylephrine.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be increased when combined with Phenylephrine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Flupentixol.]
[D07AC07, flurandrenolide, The risk or severity of hypertension can be increased when Flurandrenolide is combined with Phenylephrine.]
[N05CD01, flurazepam, The risk or severity of hypertension can be decreased when Flurazepam is combined with Phenylephrine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hypertension can be decreased when Fluspirilene is combined with Phenylephrine.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Phenylephrine.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Phenylephrine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Adrafinil.]
[G01AX06, furazolidone, Furazolidone may increase the hypertensive activities of Phenylephrine.]
[C03CA01, furosemide, Phenylephrine may decrease the antihypertensive activities of Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypertension can be decreased when Gallopamil is combined with Phenylephrine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Phenylephrine.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Cafedrine.]
[N03AD03, methsuximide, The risk or severity of hypertension can be decreased when Methsuximide is combined with Phenylephrine.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Phenylephrine.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dexmedetomidine.]
[C05AE01, nitroglycerin, Phenylephrine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Doxazosin.]
[H01AB01, thyrotropin alfa, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Thyrotropin alfa.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Phenylephrine.]
[C07AB09, esmolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Esmolol.]
[C09AA09, fosinopril, Phenylephrine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Phenylephrine may decrease the antihypertensive activities of Guanethidine.]
[D07AD02, halcinonide, The risk or severity of hypertension can be increased when Halcinonide is combined with Phenylephrine.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be increased when combined with Phenylephrine.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Phenylephrine is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Quetiapine.]
[C09CA01, losartan, Phenylephrine may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Phenylephrine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Phenylephrine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, The risk or severity of hypertension can be decreased when Nilvadipine is combined with Phenylephrine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be decreased when Nimesulide is combined with Phenylephrine.]
[C09AA04, perindopril, Phenylephrine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Phenylephrine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Phenylephrine may decrease the antihypertensive activities of Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypertension can be increased when Hydrocortisone is combined with Phenylephrine.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hypertension can be increased when Hydrocortisone aceponate is combined with Phenylephrine.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypertension can be increased when Hydrocortisone butyrate is combined with Phenylephrine.]
[D07AB11, hydrocortisone probutate, The risk or severity of hypertension can be increased when Hydrocortisone probutate is combined with Phenylephrine.]
[C03AA02, hydroflumethiazide, Phenylephrine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propiverine.]
[C02AC06, rilmenidine, Phenylephrine may decrease the antihypertensive activities of Rilmenidine.]
[S01BA13, rimexolone, The risk or severity of hypertension can be increased when Rimexolone is combined with Phenylephrine.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the vasopressor activities of Phenylephrine.]
[R01AD07, tixocortol, The risk or severity of hypertension can be increased when Tixocortol is combined with Phenylephrine.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be increased when combined with Phenylephrine.]
[C03BA11, indapamide, Phenylephrine may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Phenylephrine.]
[C02CA02, indoramin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Phenylephrine.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Piperidolate.]
[N05BA12, alprazolam, The risk or severity of hypertension can be decreased when Alprazolam is combined with Phenylephrine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be increased when combined with Phenylephrine.]
[R06AE01, buclizine, The risk or severity of Tachycardia can be increased when Buclizine is combined with Phenylephrine.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be increased when combined with Phenylephrine.]
[C07AA01, alprenolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Alprenolol.]
[N06AA13, iprindole, Iprindole may increase the vasopressor activities of Phenylephrine.]
[N06AF05, iproniazid, Iproniazid may increase the hypertensive activities of Phenylephrine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be increased when combined with Phenylephrine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypertensive activities of Phenylephrine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Phenylephrine.]
[C09AA16, imidapril, Phenylephrine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of hypertension can be increased when Phenylephrine is combined with Isoflurane.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Isoxsuprine.]
[N01AX03, ketamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Ketamine.]
[C02KD01, ketanserin, Phenylephrine may decrease the antihypertensive activities of Ketanserin.]
[N05AH03, olanzapine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Labetalol.]
[C02AA05, deserpidine, Phenylephrine may decrease the antihypertensive activities of Deserpidine.]
[C08EX01, lidoflazine, The risk or severity of hypertension can be decreased when Lidoflazine is combined with Phenylephrine.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[N06AA07, lofepramine, Lofepramine may increase the vasopressor activities of Phenylephrine.]
[A07DA03, loperamide, The risk or severity of hypertension can be decreased when Loperamide is combined with Phenylephrine.]
[N05BA06, lorazepam, The risk or severity of hypertension can be decreased when Lorazepam is combined with Phenylephrine.]
[V04CC02, magnesium sulfate, The risk or severity of hypertension can be decreased when Magnesium sulfate is combined with Phenylephrine.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be increased when combined with Phenylephrine.]
[C02BB01, mecamylamine, Phenylephrine may decrease the antihypertensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Phenylephrine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of hypertension can be decreased when Medazepam is combined with Phenylephrine.]
[N05CH01, melatonin, The metabolism of Melatonin can be increased when combined with Phenylephrine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be increased when combined with Phenylephrine.]
[N05AX13, paliperidone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Metaraminol.]
[N06BA03, methamphetamine, The metabolism of Phenylephrine can be decreased when combined with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Methantheline.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be increased when combined with Phenylephrine.]
[N02BG08, ziconotide, The risk or severity of hypertension can be decreased when Ziconotide is combined with Phenylephrine.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Phenylephrine is combined with Methoxyflurane.]
[C02AB01, methyldopa, Phenylephrine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypertensive activities of Phenylephrine.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Phenylephrine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Methylphenidate.]
[H02AB04, methylprednisolone, The risk or severity of hypertension can be increased when Methylprednisolone is combined with Phenylephrine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypertension can be increased when Methylprednisolone aceponate is combined with Phenylephrine.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be increased when combined with Phenylephrine.]
[C03BA08, metolazone, Phenylephrine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Metoprolol.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Phenylephrine.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Phenylephrine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Phenylephrine.]
[N05CD08, midazolam, The risk or severity of hypertension can be decreased when Midazolam is combined with Phenylephrine.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Phenylephrine.]
[C09CA03, valsartan, Phenylephrine may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Phenylephrine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The risk or severity of hypertension can be decreased when Amiodarone is combined with Phenylephrine.]
[N06AA09, amitriptyline, Amitriptyline may increase the vasopressor activities of Phenylephrine.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Phenylephrine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Phenylephrine.]
[G04CA04, silodosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Silodosin.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Phenylephrine.]
[N06AA17, amoxapine, Amoxapine may increase the vasopressor activities of Phenylephrine.]
[C07AA12, nadolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Nadolol.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Phenylephrine.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Phenylephrine is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Phenylephrine.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Phenylephrine.]
