[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Sarilumab.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Sarilumab.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pirarubicin is combined with Sarilumab.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Sarilumab.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Difluocortolone is combined with Sarilumab.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Sarilumab.]
[L02AA02, polyestradiol phosphate, Polyestradiol phosphate may increase the thrombogenic activities of Sarilumab.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Sarilumab.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Sarilumab.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Sarilumab.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Sarilumab.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be increased when combined with Sarilumab.]
[G03CA09, promestriene, Promestriene may increase the thrombogenic activities of Sarilumab.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Sarilumab.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Sarilumab.]
[J06BB01, Rho(D) immune globulin, The risk or severity of adverse effects can be increased when Human Rho(D) immune globulin is combined with Sarilumab.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Natalizumab.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Sarilumab.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Sarilumab.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Sarilumab.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Sarilumab.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Sarilumab.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Sarilumab.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Sarilumab.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Sarilumab.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Sarilumab.]
[G03CX01, tibolone, Tibolone may increase the thrombogenic activities of Sarilumab.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Sarilumab.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Sarilumab is combined with Trofosfamide.]
[J06BB03, varicella-zoster immune globulin, The risk or severity of adverse effects can be increased when Human varicella-zoster immune globulin is combined with Sarilumab.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Sarilumab.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Sarilumab.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Sarilumab.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Sarilumab.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be increased when combined with Sarilumab.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Sarilumab.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Sarilumab.]
[G03CC06, estriol, Estriol may increase the thrombogenic activities of Sarilumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Sarilumab.]
[G03CC04, estrone, Estrone may increase the thrombogenic activities of Sarilumab.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Sarilumab.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Sarilumab is combined with Fluticasone.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Sarilumab.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Sarilumab.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Sarilumab.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Sarilumab.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be increased when combined with Sarilumab.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Sarilumab.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Sarilumab.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Sarilumab.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Sarilumab.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Sarilumab.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Sarilumab.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Sarilumab.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Sarilumab.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Sarilumab.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Sarilumab.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Sarilumab.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Sarilumab.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Sarilumab.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Sarilumab.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Sarilumab.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Sarilumab.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Sarilumab.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Sarilumab.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Sarilumab.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Sarilumab.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Sarilumab.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Sarilumab.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Sarilumab.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Sarilumab.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Sarilumab.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Sarilumab.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Sarilumab.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Sarilumab.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Sarilumab.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Sarilumab.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Sarilumab.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Sarilumab.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Sarilumab.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Sarilumab.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Sarilumab.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Sarilumab.]
[S01LA04, ranibizumab, The risk or severity of adverse effects can be increased when Ranibizumab is combined with Sarilumab.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Sarilumab.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Sarilumab.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Sarilumab.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Sarilumab.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Sarilumab.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sarilumab.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Sarilumab.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Sarilumab.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Sarilumab.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Sarilumab.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Sarilumab.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Sarilumab.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Sarilumab.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be increased when combined with Sarilumab.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Sarilumab.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Sarilumab.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Sarilumab.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Sarilumab.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Sarilumab.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Sarilumab.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Sarilumab.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Sarilumab.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Sarilumab.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Sarilumab.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Sarilumab.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Sarilumab.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Sarilumab.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be increased when combined with Sarilumab.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Sarilumab.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Sarilumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Sarilumab.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Sarilumab.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Sarilumab.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Sarilumab.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Sarilumab.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Sarilumab.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Sarilumab.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Sarilumab.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Sarilumab.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Sarilumab.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Sarilumab.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Sarilumab.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Sarilumab.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Sarilumab.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Sarilumab.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Sarilumab.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Sarilumab.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Sarilumab.]
[L01FX01, edrecolomab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Edrecolomab.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Sarilumab.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Sarilumab.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Sarilumab.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Sarilumab.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Sarilumab.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Sarilumab.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Abciximab is combined with Sarilumab.]
[L04AC05, ustekinumab, The risk or severity of adverse effects can be increased when Ustekinumab is combined with Sarilumab.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Sarilumab.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Sarilumab.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Sarilumab.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Sarilumab.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Sarilumab.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Sarilumab.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Sarilumab.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Sarilumab.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Sarilumab.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Sarilumab.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Sarilumab.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Sarilumab.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Sarilumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Sarilumab.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Sarilumab.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Sarilumab.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Sarilumab.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Sarilumab is combined with Hydrocortisone butyrate.]
