[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Oxycodone.]
[L04AC19, satralizumab, The serum concentration of Oxycodone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Oxycodone is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Oxycodone can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Oxycodone can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Oxycodone.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Oxycodone.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Oxycodone.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Oxycodone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Oxycodone.]
[A11CC05, cholecalciferol, The metabolism of Oxycodone can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Oxycodone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Oxycodone can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Oxycodone.]
[P03AX07, abametapir, The serum concentration of Oxycodone can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Oxycodone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Oxycodone.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Oxycodone.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Oxycodone can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Oxycodone can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Oxycodone.]
[L01XX73, sotorasib, The serum concentration of Oxycodone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Oxycodone can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Citalopram.]
[C03DA05, finerenone, The therapeutic efficacy of Finerenone can be decreased when used in combination with Oxycodone.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Oxycodone.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Oxycodone.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Oxycodone.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Oxycodone.]
[N06AX25, St. John's wort extract, The metabolism of Oxycodone can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Oxycodone.]
[J04BA01, clofazimine, The metabolism of Oxycodone can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Oxycodone.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Oxycodone.]
[C01EB24, mavacamten, The serum concentration of Oxycodone can be decreased when it is combined with Mavacamten.]
[C03BA03, clopamide, The therapeutic efficacy of Clopamide can be decreased when used in combination with Oxycodone.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Oxycodone.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Oxycodone is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Clozapine is combined with Oxycodone.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Oxycodone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Oxycodone.]
[C02KB01, metyrosine, Oxycodone may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Oxycodone can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Oxycodone.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Oxycodone.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Oxycodone.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Oxycodone.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Oxycodone is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Oxycodone.]
[J01FA15, telithromycin, The metabolism of Oxycodone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Oxycodone.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Oxycodone.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Oxycodone.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Oxycodone can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Oxycodone can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Oxycodone can be decreased when combined with Posaconazole.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Oxycodone.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Oxycodone.]
[S01BA03, cortisone, The metabolism of Oxycodone can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Oxycodone can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lormetazepam.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Oxycodone.]
[C08CA11, manidipine, The metabolism of Oxycodone can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Oxycodone.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Oxycodone.]
[H02AB15, meprednisone, The metabolism of Oxycodone can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Oxycodone.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Oxycodone.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the analgesic activities of Oxycodone.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cyclobarbital.]
[C03DA04, eplerenone, The therapeutic efficacy of Eplerenone can be decreased when used in combination with Oxycodone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Oxycodone is combined with Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Oxycodone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Oxycodone.]
[N06AX07, minaprine, Minaprine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[S01XA18, cyclosporine, The metabolism of Oxycodone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N06BA07, modafinil, The metabolism of Oxycodone can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Oxycodone.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Oxycodone.]
[C03XA02, conivaptan, The metabolism of Oxycodone can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Oxycodone.]
[M01AH05, etoricoxib, The metabolism of Oxycodone can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Oxycodone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Oxycodone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Oxycodone can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Oxycodone.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N07BB05, nalmefene, The therapeutic efficacy of Oxycodone can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Oxycodone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Oxycodone.]
[N06AX06, nefazodone, The metabolism of Oxycodone can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Oxycodone.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Oxycodone.]
[N06AA01, desipramine, The risk or severity of adverse effects can be increased when Desipramine is combined with Oxycodone.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Oxycodone is combined with Desmopressin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Oxycodone can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Oxycodone.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Oxycodone.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Oxycodone.]
[L04AB04, adalimumab, The metabolism of Oxycodone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Oxycodone can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may increase the analgesic activities of Oxycodone.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Oxycodone.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Oxycodone is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Paroxetine.]
[B01AC04, clopidogrel, Oxycodone can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cinchocaine.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Diclofenamide can be decreased when used in combination with Oxycodone.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Oxycodone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Oxycodone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Oxycodone.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Oxycodone.]
[A08AA03, diethylpropion, Diethylpropion may increase the analgesic activities of Oxycodone.]
[C08CA03, isradipine, The metabolism of Oxycodone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Oxycodone can be increased when combined with Difluocortolone.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Oxycodone.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Oxycodone.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Oxycodone.]
[J05AE08, atazanavir, The metabolism of Oxycodone can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Oxycodone can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pridinol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Oxycodone.]
[M02AX03, dimethyl sulfoxide, The metabolism of Oxycodone can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Progabide.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Oxycodone.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Oxycodone can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Oxycodone.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Oxycodone.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Oxycodone.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Oxycodone.]
[S02AA12, rifamycin SV, The metabolism of Oxycodone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Oxycodone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Oxycodone is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Oxycodone.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Oxycodone.]
[A04AD12, aprepitant, The metabolism of Oxycodone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Oxycodone.]
[L01XG01, bortezomib, The metabolism of Oxycodone can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Oxycodone.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Oxycodone.]
[C01EB18, ranolazine, The serum concentration of Oxycodone can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Oxycodone.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Oxycodone.]
[N06AA16, dothiepin, The risk or severity of adverse effects can be increased when Dosulepin is combined with Oxycodone.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Oxycodone.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Oxycodone.]
[L01DB01, doxorubicin, The metabolism of Oxycodone can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Oxycodone.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Oxycodone.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Oxycodone.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sumatriptan.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Oxycodone.]
[D01BA02, terbinafine, The metabolism of Oxycodone can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Oxycodone.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Oxycodone is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Oxycodone.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tofisopam.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N06BA09, atomoxetine, The metabolism of Oxycodone can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Oxycodone.]
[C03CA04, torsemide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxycodone.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Oxycodone is combined with Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Oxycodone.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Trimethobenzamide.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Oxycodone.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Oxycodone.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Oxycodone can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Oxycodone can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of hypotension and CNS depression can be increased when Moricizine is combined with Oxycodone.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Oxycodone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Oxycodone.]
[S01AA17, erythromycin, The metabolism of Oxycodone can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Oxycodone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Oxycodone.]
[J04AK02, ethambutol, The metabolism of Oxycodone can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Oxycodone can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Oxycodone can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Oxycodone.]
[C01CA15, gepefrine, Gepefrine may increase the analgesic activities of Oxycodone.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Oxycodone.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Oxycodone.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Oxycodone.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Oxycodone.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Oxycodone.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Oxycodone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Oxycodone.]
[R06AX12, terfenadine, The metabolism of Oxycodone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Oxycodone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Oxycodone.]
[C08CA02, felodipine, The metabolism of Oxycodone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Oxycodone.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Oxycodone is combined with Fentanyl.]
[N07AX03, cevimeline, The metabolism of Oxycodone can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Oxycodone.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Oxycodone.]
[J02AC01, fluconazole, The metabolism of Oxycodone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Oxycodone can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Oxycodone is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Oxycodone can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The serum concentration of Oxycodone can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Oxycodone.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Oxycodone.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Oxycodone.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Oxycodone.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[J05AE10, darunavir, The metabolism of Oxycodone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxycodone.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Oxycodone is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Oxycodone.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Oxycodone.]
