[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dronabinol.]
[N02AX03, dezocine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dezocine.]
[L01EX18, avapritinib, The serum concentration of Dronabinol can be increased when it is combined with Avapritinib.]
[N05CM21, lemborexant, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lemborexant.]
[N05AD10, lumateperone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lumateperone.]
[M01AX21, diacetylrhein, The serum concentration of Dronabinol can be increased when it is combined with Diacerein.]
[J05AB16, remdesivir, The serum concentration of Dronabinol can be increased when it is combined with Remdesivir.]
[H02CA02, osilodrostat, The serum concentration of Dronabinol can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Dronabinol can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N05CC04, dichloralphenazone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Dronabinol.]
[A07DA04, difenoxin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Difenoxin.]
[N02AA08, dihydrocodeine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dihydrocodeine.]
[N02CC06, eletriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Dronabinol.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Dronabinol.]
[C08CA16, clevidipine, The serum concentration of Dronabinol can be increased when it is combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Dronabinol can be increased when it is combined with Dronedarone.]
[N03AG02, dipropylacetamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Valpromide.]
[J01FA13, dirithromycin, The serum concentration of Dronabinol can be increased when it is combined with Dirithromycin.]
[S03AA08, chloramphenicol, The serum concentration of Dronabinol can be increased when it is combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Dronabinol.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia and drowsiness can be increased when Dihexyverine is combined with Dronabinol.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Dronabinol.]
[G04BD09, trospium, The risk or severity of Tachycardia and drowsiness can be increased when Trospium is combined with Dronabinol.]
[N05CM02, chlormethiazole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clomethiazole.]
[M03BB02, chlormezanone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlormezanone.]
[R02AD04, dyclonine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dyclonine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Dronabinol.]
[N05CD14, remimazolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Remimazolam.]
[N07XX04, sodium oxybate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Dronabinol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Dronabinol is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Dronabinol.]
[L01EX23, pralsetinib, The serum concentration of Dronabinol can be increased when it is combined with Pralsetinib.]
[R06AB04, chlorpheniramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlorpheniramine.]
[N05AA01, chlorpromazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Dronabinol.]
[N05AF03, chlorprothixene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlorzoxazone.]
[N05BX03, etifoxine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Etifoxine.]
[N06BX18, vinpocetine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethyl loflazepate.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Dronabinol.]
[B06AC06, berotralstat, The metabolism of Dronabinol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Dronabinol.]
[P03AX07, abametapir, The serum concentration of Dronabinol can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Dronabinol can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Febarbamate.]
[N03AX10, felbamate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Dronabinol.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Fenozolone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Dronabinol.]
[N01AB05, trichloroethylene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Dronabinol can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of Dronabinol can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Dronabinol.]
[L01XX73, sotorasib, The serum concentration of Dronabinol can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The serum concentration of Dronabinol can be increased when it is combined with Ciprofloxacin.]
[N06AB04, citalopram, Dronabinol may increase the QTc-prolonging activities of Citalopram.]
[P01CA03, fexinidazole, The serum concentration of Dronabinol can be increased when it is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Dronabinol.]
[R06AA04, clemastine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Dronabinol.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Dronabinol.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Dronabinol.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Dronabinol can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Dronabinol.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Dronabinol.]
[J04BA01, clofazimine, The serum concentration of Dronabinol can be increased when it is combined with Clofazimine.]
[N01BB10, levobupivacaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levobupivacaine.]
[N06AA04, clomipramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clomipramine.]
[N03AE01, clonazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Dronabinol.]
[C01EB24, mavacamten, The serum concentration of Dronabinol can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clothiapine.]
[N05BA21, clotiazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clotiazepam.]
[A04AA01, ondansetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A04AA02, granisetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Granisetron.]
[N05AH02, clozapine, The serum concentration of Dronabinol can be increased when it is combined with Clozapine.]
[N05BA13, halazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Halazepam.]
[H01AC08, somatrogon, The metabolism of Dronabinol can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Cocaine may increase the tachycardic activities of Dronabinol.]
[C02KB01, metyrosine, Dronabinol may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Dronabinol can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Codeine.]
[M03AC05, hexafluorenium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Hexafluronium.]
[M04AC01, colchicine, The serum concentration of Dronabinol can be increased when it is combined with Colchicine.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia and drowsiness can be increased when Hexocyclium is combined with Dronabinol.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia and drowsiness can be increased when Homatropine methylbromide is combined with Dronabinol.]
[L04AA13, leflunomide, The serum concentration of Dronabinol can be increased when it is combined with Leflunomide.]
[N01AB07, desflurane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Desflurane.]
[A04AA03, tropisetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tropisetron.]
[C04AX28, ifenprodil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Dronabinol.]
[J01FA15, telithromycin, The serum concentration of Dronabinol can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Dronabinol.]
[R06AX27, desloratadine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Dronabinol.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Isometheptene.]
[N02CC05, almotriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Dronabinol.]
[J02AC02, itraconazole, The serum concentration of Dronabinol can be increased when it is combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Dronabinol.]
[N05BA10, ketazolam, The serum concentration of Dronabinol can be increased when it is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Dronabinol can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of Dronabinol can be increased when it is combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Dronabinol.]
[N03AX09, lamotrigine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levocabastine.]
[N07BC04, lofexidine, The therapeutic efficacy of Dronabinol can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Dronabinol.]
[N05CD06, lormetazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lormetazepam.]
[C08CA11, manidipine, The serum concentration of Dronabinol can be increased when it is combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia and drowsiness can be increased when Mebeverine is combined with Dronabinol.]
[N06AX13, medifoxamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Dronabinol.]
[R06AD07, mequitazine, The serum concentration of Dronabinol can be increased when it is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia and drowsiness can be increased when Metixene is combined with Dronabinol.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The serum concentration of Dronabinol can be increased when it is combined with Cyclizine.]
[N05CA10, cyclobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cyclobarbital.]
[N05AD03, metylperon, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Melperone.]
[J01FA03, midecamycin, The serum concentration of Dronabinol can be increased when it is combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Dronabinol.]
[N06AX07, minaprine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Minaprine.]
[S01XA18, cyclosporine, The serum concentration of Dronabinol can be increased when it is combined with Cyclosporine.]
[N06AG02, moclobemide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N06BA07, modafinil, The serum concentration of Dronabinol can be increased when it is combined with Armodafinil.]
[R06AX02, cyproheptadine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Dronabinol.]
[C03XA02, conivaptan, The serum concentration of Dronabinol can be increased when it is combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Moxonidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Dronabinol.]
[M01AH05, etoricoxib, The serum concentration of Dronabinol can be increased when it is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Dronabinol.]
[G03XA01, danazol, The serum concentration of Dronabinol can be increased when it is combined with Danazol.]
[M03CA01, dantrolene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Dronabinol.]
[L01DB02, daunorubicin, The serum concentration of Dronabinol can be increased when it is combined with Daunorubicin.]
[N06BX04, deanol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Dronabinol.]
[A04AD11, nabilone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Dronabinol.]
[N05BA16, nordazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Dronabinol.]
[N06AX06, nefazodone, The serum concentration of Dronabinol can be increased when it is combined with Nefazodone.]
[N05CM16, niaprazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Niaprazine.]
[L02BB02, nilutamide, The serum concentration of Dronabinol can be increased when it is combined with Nilutamide.]
[N03AG06, tiagabine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Dronabinol.]
[M03AC11, cisatracurium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Norfenefrine.]
[R05DA06, normethadone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Normethadone.]
[N06AB10, escitalopram, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Escitalopram.]
[G04BD08, solifenacin, The risk or severity of Tachycardia and drowsiness can be increased when Solifenacin is combined with Dronabinol.]
[N06AA01, desipramine, The serum concentration of Dronabinol can be increased when it is combined with Desipramine.]
[N03AF02, oxcarbazepine, The serum concentration of Dronabinol can be increased when it is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dronabinol can be increased when it is combined with Dexamethasone.]
[N06BX07, oxiracetam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of Tachycardia and drowsiness can be increased when Dexetimide is combined with Dronabinol.]
[G04BD04, oxybutynin, The serum concentration of Dronabinol can be increased when it is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Dronabinol.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia and drowsiness can be increased when Oxyphencyclimine is combined with Dronabinol.]
[L04AB04, adalimumab, The metabolism of Dronabinol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Dronabinol.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Dronabinol.]
[R05DA09, dextromethorphan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dextromethorphan.]
[N03AC01, paramethadione, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Paramethadione.]
[N02AC01, dextromoramide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dextromoramide.]
[N06AB05, paroxetine, The serum concentration of Dronabinol can be increased when it is combined with Paroxetine.]
[B01AC04, clopidogrel, The serum concentration of Dronabinol can be increased when it is combined with Clopidogrel.]
[N07BC06, heroin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Dronabinol.]
[A03AX15, peppermint oil, The serum concentration of Dronabinol can be increased when it is combined with Peppermint oil.]
[N05BA01, diazepam, The serum concentration of Dronabinol can be increased when it is combined with Diazepam.]
[N03AX07, phenacemide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Phenacemide.]
[N03AD02, phensuximide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Phensuximide.]
[N06AA08, dibenzepin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dibenzepin.]
[S02DA04, dibucaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Dronabinol.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia and drowsiness can be increased when Dicyclomine is combined with Dronabinol.]
[N05AD05, pipamperone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia and drowsiness can be increased when Pipenzolate is combined with Dronabinol.]
[L01EB02, erlotinib, The serum concentration of Dronabinol can be increased when it is combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Pirbuterol.]
[A08AA03, diethylpropion, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Diethylpropion.]
[L02AA01, diethylstilbestrol, The serum concentration of Dronabinol can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The serum concentration of Dronabinol can be increased when it is combined with Isradipine.]
[A03AB11, poldine, The risk or severity of Tachycardia and drowsiness can be increased when Poldine is combined with Dronabinol.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Dronabinol.]
[N02CA01, dihydroergotamine, The serum concentration of Dronabinol can be increased when it is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Hydromorphone.]
[J05AE08, atazanavir, The serum concentration of Dronabinol can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Dronabinol.]
[D04AB07, pramoxine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pramocaine.]
[C08DB01, diltiazem, The serum concentration of Dronabinol can be increased when it is combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.]
[M03BX03, pridinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pridinol.]
[R06AB03, dimethindene, The risk or severity of Tachycardia and drowsiness can be increased when Dimetindene is combined with Dronabinol.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The serum concentration of Dronabinol can be increased when it is combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Dronabinol.]
[C05CA03, diosmin, The serum concentration of Dronabinol can be increased when it is combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Dronabinol.]
[R06AA02, diphenhydramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Diphenoxylate.]
[N05CD10, quazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Quazepam.]
[N06BA11, dexmethylphenidate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dexmethylphenidate.]
[N06AA23, quinupramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Quinupramine.]
[A03FA02, cisapride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N05AL04, remoxipride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Remoxipride.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of Tachycardia and drowsiness can be increased when Disopyramide is combined with Dronabinol.]
[P03AA04, disulfiram, The risk or severity of adverse effects can be increased when Dronabinol is combined with Disulfiram.]
[S02AA12, rifamycin SV, The serum concentration of Dronabinol can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Dronabinol can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Riluzole.]
[N05AX08, risperidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Risperidone.]
[R06AE09, levocetirizine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levocetirizine.]
[N01BB09, ropivacaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ropivacaine.]
[L01EX01, sunitinib, The serum concentration of Dronabinol can be increased when it is combined with Sunitinib.]
[A04AD12, aprepitant, The serum concentration of Dronabinol can be increased when it is combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Dronabinol.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Dronabinol.]
[C01EB18, ranolazine, The serum concentration of Dronabinol can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Dronabinol.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Dopamine.]
[N06AA16, dothiepin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The serum concentration of Dronabinol can be increased when it is combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[N06AB06, sertraline, The serum concentration of Dronabinol can be increased when it is combined with Sertraline.]
[N01AB08, sevoflurane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sevoflurane.]
[N05AD08, droperidol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[A08AA10, sibutramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sibutramine.]
[C10AA01, simvastatin, The serum concentration of Dronabinol can be increased when it is combined with Simvastatin.]
[N05AL02, sultopride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sultopride.]
[N02CC01, sumatriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sumatriptan.]
[G01AF05, econazole, The serum concentration of Dronabinol can be increased when it is combined with Econazole.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Dronabinol.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Dronabinol.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Dronabinol.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Dronabinol.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Dronabinol.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Tetryzoline.]
[M03BX07, tetrazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tetrazepam.]
[M03BX05, thiocolchicoside, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thiocolchicoside.]
[N05AB05, thiopropazate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thiopropazate.]
[G04BD01, emepronium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tianeptine.]
[G01AF08, tioconazole, The serum concentration of Dronabinol can be increased when it is combined with Tioconazole.]
[N05BA23, tofisopam, The serum concentration of Dronabinol can be increased when it is combined with Tofisopam.]
[N06AG03, toloxatone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Dronabinol.]
[N03AX11, topiramate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Topiramate.]
[C03CA04, torsemide, The serum concentration of Dronabinol can be increased when it is combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Tramazoline.]
[N05CD11, triazulenone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Loprazolam.]
[N05CC01, chloral hydrate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chloral hydrate.]
[N05CM07, triclofos, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia and drowsiness can be increased when Tridihexethyl is combined with Dronabinol.]
[R06AA10, trimethobenzamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trimethobenzamide.]
[N04AA12, tropatepine, The risk or severity of Tachycardia and drowsiness can be increased when Tropatepine is combined with Dronabinol.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Tulobuterol.]
[N01AB04, enflurane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Enflurane.]
[C02CA06, urapidil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Urapidil.]
[N05AL06, veralipride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Veralipride.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Ephedrine.]
[S01GX10, epinastine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Epinastine.]
[N06AX16, venlafaxine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Xylometazoline.]
[C08CA12, mepirodipine, The serum concentration of Dronabinol can be increased when it is combined with Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Dronabinol can be increased when it is combined with Epinephrine.]
