[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ranitidine.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Ranitidine.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Ranitidine.]
[L01EN01, erdafitinib, The serum concentration of Ranitidine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ubidecarenone.]
[L04AB01, etanercept, The metabolism of Ranitidine can be increased when combined with Etanercept.]
[J01DC04, cefaclor, The excretion of Ranitidine can be decreased when combined with Cefaclor.]
[J01DB05, cefadroxil, The excretion of Ranitidine can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Ranitidine can be decreased when combined with Cefamandole.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Ranitidine can be decreased when combined with Cefazolin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD12, cefoperazone, The excretion of Ranitidine can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Ranitidine can be decreased when combined with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DC07, cefotiam, The excretion of Ranitidine can be decreased when combined with Cefotiam.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ranitidine can be decreased when combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The excretion of Ranitidine can be decreased when combined with Ceftriaxone.]
[S01AA27, cefuroxime, Ranitidine can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Ranitidine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Ranitidine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ranitidine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Ranitidine.]
[A10AE03, insulin, regular, pork, The metabolism of Ranitidine can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Ranitidine.]
[J01DB01, cephalexin, The excretion of Ranitidine can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, The excretion of Ranitidine can be decreased when combined with Cefaloridine.]
[J01DB03, cephalothin, The excretion of Ranitidine can be decreased when combined with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A16AX16, givosiran, The serum concentration of Ranitidine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Ranitidine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Ranitidine.]
[S01XA12, dexpanthenol, Ranitidine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[M01AX21, diacetylrhein, The metabolism of Ranitidine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Ranitidine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Ranitidine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, Ranitidine can cause a decrease in the absorption of Amprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Ranitidine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Ranitidine.]
[R02AA03, dichlorobenzyl alcohol, Ranitidine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Ranitidine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Ranitidine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Ranitidine.]
[M01AH02, rofecoxib, The metabolism of Ranitidine can be decreased when combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Ranitidine.]
[C01BD07, dronedarone, The excretion of Ranitidine can be decreased when combined with Dronedarone.]
[S03AA08, chloramphenicol, The excretion of Ranitidine can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The serum concentration of Ranitidine can be increased when it is combined with Tucatinib.]
[L01EX17, capmatinib, The metabolism of Ranitidine can be decreased when combined with Capmatinib.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V08CA05, mangafodipir, Ranitidine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Ranitidine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Ranitidine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Ranitidine.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ranitidine.]
[L01EX23, pralsetinib, The excretion of Ranitidine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The serum concentration of Ranitidine can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Ranitidine.]
[A10BB02, chlorpropamide, The serum concentration of Chlorpropamide can be increased when it is combined with Ranitidine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Ranitidine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Ranitidine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Etofibrate.]
[M01AX25, chondroitin sulfates, Ranitidine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The excretion of Ranitidine can be decreased when combined with Cabotegravir.]
[P03AX07, abametapir, The serum concentration of Ranitidine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The serum concentration of Ranitidine can be increased when it is combined with Trilaciclib.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Ranitidine.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V08CA07, ferric ammonium citrate, Ranitidine can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Ranitidine can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Ranitidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ranitidine can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ranitidine can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ranitidine can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ranitidine can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Ranitidine can be decreased when combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01JA01, fluorescein, The excretion of Ranitidine can be decreased when combined with Fluorescein.]
[N02BG07, flupirtine, Ranitidine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Ranitidine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Ranitidine can be increased when it is combined with Peginterferon alfa-2b.]
[B03AB10, ferric maltol, Ranitidine can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The excretion of Ranitidine can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Ranitidine.]
[J01MB06, cinoxacin, The metabolism of Ranitidine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The therapeutic efficacy of Sotorasib can be decreased when used in combination with Ranitidine.]
[L01EN03, infigratinib, The serum concentration of Infigratinib can be decreased when it is combined with Ranitidine.]
[S03AA07, ciprofloxacin, The metabolism of Ranitidine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Ranitidine.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Ranitidine.]
[H01AC07, somapacitan, The metabolism of Ranitidine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The excretion of Ranitidine can be decreased when combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Ranitidine can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Ranitidine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ranitidine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ranitidine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Ranitidine can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The serum concentration of Glimepiride can be increased when it is combined with Ranitidine.]
[A10BB08, gliquidone, The serum concentration of Gliquidone can be increased when it is combined with Ranitidine.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Ranitidine can be decreased when combined with Ropeginterferon alfa-2b.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Ranitidine.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Ranitidine.]
[L01EJ03, pacritinib, The serum concentration of Ranitidine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ranitidine.]
[N03AE01, clonazepam, Ranitidine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Ranitidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J02AC06, oteseconazole, Ranitidine can cause a decrease in the absorption of Oteseconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Ranitidine.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Ranitidine.]
[J01GB12, arbekacin, Ranitidine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Ranitidine can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Ranitidine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Ranitidine.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Colchicine.]
[J01XB01, colistin, Ranitidine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Ranitidine can be decreased when it is combined with Leflunomide.]
[A04AA03, tropisetron, Ranitidine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Ranitidine.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Ranitidine.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AB14, valganciclovir, Ranitidine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ranitidine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ranitidine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ranitidine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ranitidine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ranitidine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Ranitidine.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J02AC02, itraconazole, Ranitidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AD03, acyclovir, The excretion of Ranitidine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, Ranitidine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Ranitidine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, Ranitidine can cause a decrease in the absorption of Posaconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BC05, esomeprazole, The excretion of Ranitidine can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, The serum concentration of Ranitidine can be increased when it is combined with Lamotrigine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Ranitidine.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Ranitidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Ranitidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ranitidine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Mebeverine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Ranitidine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Ranitidine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Ranitidine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Ranitidine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Ranitidine.]
[S01XA18, cyclosporine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cyclosporine is combined with Ranitidine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Ranitidine.]
[N06BA07, modafinil, The metabolism of Ranitidine can be increased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The excretion of Ranitidine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01XA21, cysteamine, The bioavailability of Cysteamine can be decreased when combined with Ranitidine.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Ranitidine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Ranitidine.]
[L01AX04, dacarbazine, The metabolism of Ranitidine can be decreased when combined with Dacarbazine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Ranitidine.]
[M01AX01, nabumetone, The metabolism of Ranitidine can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Ranitidine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Ranitidine.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Ranitidine.]
[C01DX16, nicorandil, Ranitidine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Ranitidine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Ranitidine.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Ranitidine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Ranitidine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V04CH02, indigo carmine, Ranitidine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Ranitidine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Ranitidine.]
[L04AB04, adalimumab, The metabolism of Ranitidine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Ranitidine can cause a decrease in the absorption of Gefitinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Ranitidine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Ranitidine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Ranitidine.]
[B01AC04, clopidogrel, The serum concentration of Ranitidine can be increased when it is combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Ranitidine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Ranitidine.]
[P03AC04, permethrin, Ranitidine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R05DA08, pholcodine, Ranitidine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The excretion of Ranitidine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Ranitidine.]
[J05AF02, didanosine, Ranitidine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[L01EB02, erlotinib, Ranitidine can cause a decrease in the absorption of Erlotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Ranitidine.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[D07XC04, diflucortolone, Ranitidine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01AA05, digoxin, Ranitidine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Ranitidine can be decreased when combined with Dihydralazine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AE08, atazanavir, Ranitidine can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H03BC01, potassium perchlorate, Ranitidine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Ranitidine.]
[V03AB09, dimercaprol, Ranitidine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Ranitidine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Ranitidine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Ranitidine can be decreased when combined with Dinoprostone.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Ranitidine.]
[R06AA02, diphenhydramine, The serum concentration of Ranitidine can be increased when it is combined with Diphenhydramine.]
[N06BA11, dexmethylphenidate, The therapeutic efficacy of Dexmethylphenidate can be decreased when used in combination with Ranitidine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Ranitidine.]
[S01AX06, resorcinol, Ranitidine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The serum concentration of Ranitidine can be increased when it is combined with Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Ranitidine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The metabolism of Ranitidine can be decreased when combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Ranitidine.]
[R06AE09, levocetirizine, Ranitidine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Ranitidine can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Ranitidine can be decreased when combined with Rosoxacin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Ranitidine.]
[J05AE07, fosamprenavir, Ranitidine can cause a decrease in the absorption of Fosamprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Ranitidine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Ranitidine can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Ranitidine.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Ranitidine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Ranitidine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Ranitidine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Ranitidine.]
[A08AA10, sibutramine, Ranitidine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Ranitidine.]
[A12CA02, sodium sulfate, Ranitidine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
